partido,jornada,local_visitante,pases_totales,precision_pase,pases_campo_rival_%,pases_zona_peligrosa,eventos_por_minuto,dif_pases_totales,dif_precision_pase,dif_pases_campo_rival_%,dif_pases_zona_peligrosa,dif_eventos_por_minuto,volumen_pase,dominio_territorial,generacion_peligro,ritmo_ofensivo,lectura_contextual
Real Sociedad vs Barcelona,20,home,257,64.2,34.63,13,7.33,-228.86666666666667,-15.588666666666654,-10.716666666666676,-8.866666666666667,-2.3210000000000033,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media,"Partido con menor producción ofensiva respecto a la muestra general, tanto en volumen como en llegada a zona peligrosa."
Real Sociedad vs Celta de Vigo,21,home,381,81.63,41.99,15,8.33,-104.86666666666667,1.8413333333333384,-3.3566666666666762,-6.866666666666667,-1.3210000000000033,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media,"Partido con menor producción ofensiva respecto a la muestra general, tanto en volumen como en llegada a zona peligrosa."
Athletic Club vs Real Sociedad,22,away,398,74.62,31.41,10,9.51,-87.86666666666667,-5.1686666666666525,-13.936666666666678,-11.866666666666667,-0.14100000000000357,Por debajo de la media,Por debajo de la media,Por debajo de la media,Por debajo de la media,"Partido con menor producción ofensiva respecto a la muestra general, tanto en volumen como en llegada a zona peligrosa."
Mallorca vs Real Sociedad,26,away,581,82.1,45.96,24,10.02,95.13333333333333,2.3113333333333372,0.6133333333333226,2.133333333333333,0.3689999999999962,Por encima de la media,Por encima de la media,Por encima de la media,Por encima de la media,"Partido de alta producción ofensiva, con volumen de pase y llegada a zonas peligrosas por encima del comportamiento medio."
Real Sociedad vs Osasuna,28,home,491,82.48,41.96,25,9.72,5.133333333333326,2.691333333333347,-3.3866666666666774,3.133333333333333,0.06899999999999729,Por encima de la media,Por debajo de la media,Por encima de la media,Por encima de la media,"Partido de alta producción ofensiva, con volumen de pase y llegada a zonas peligrosas por encima del comportamiento medio."
