ranking,tipo_ranking,equipo,jugador,position,minutos,partidos,titularidades,goles,asistencias,pases_totales,recuperaciones,duelos_ganados,entradas_ganadas,intercepciones,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,rol_tactico,lectura_dashboard
14,Ranking total LaLiga,Celta,Marcos Alonso,Defender,2154.0,25.0,24.0,1.0,0.0,1824.0,119.0,91.0,17.0,25.0,6.3,66.82,46.58,39.56,Progresor / conector,"Marcos Alonso (Celta) aparece como progresor / conector, con índice total 39.56. Su perfil permite valorar impacto individual dentro del modelo colectivo."
15,Ranking total LaLiga,Real Madrid,A. Tchouaméni,Midfielder,2240.0,27.0,26.0,1.0,0.0,1610.0,125.0,147.0,36.0,34.0,10.47,52.97,56.42,39.13,Sostén defensivo,"A. Tchouaméni (Real Madrid) aparece como sostén defensivo, con índice total 39.13. Su perfil permite valorar impacto individual dentro del modelo colectivo."
16,Ranking total LaLiga,Rayo Vallecano,A. Rațiu,Defender,2313.0,27.0,26.0,0.0,3.0,1092.0,130.0,132.0,30.0,33.0,20.14,43.65,54.12,38.56,Sostén defensivo,"A. Rațiu (Rayo Vallecano) aparece como sostén defensivo, con índice total 38.56. Su perfil permite valorar impacto individual dentro del modelo colectivo."
17,Ranking total LaLiga,Betis,Antony,Forward,1938.0,25.0,23.0,7.0,4.0,925.0,101.0,87.0,17.0,19.0,43.26,36.62,32.8,37.8,Amenaza ofensiva,"Antony (Betis) aparece como amenaza ofensiva, con índice total 37.80. Su perfil permite valorar impacto individual dentro del modelo colectivo."
18,Ranking total LaLiga,Elche,D. Affengruber,Defender,2265.0,28.0,25.0,0.0,0.0,1552.0,121.0,137.0,40.0,40.0,2.99,47.26,66.3,37.48,Sostén defensivo,"D. Affengruber (Elche) aparece como sostén defensivo, con índice total 37.48. Su perfil permite valorar impacto individual dentro del modelo colectivo."
19,Ranking total LaLiga,Real Madrid,Álvaro Carreras,Defender,2064.0,25.0,23.0,2.0,1.0,1498.0,138.0,105.0,17.0,35.0,12.96,51.75,48.1,37.08,Progresor / conector,"Álvaro Carreras (Real Madrid) aparece como progresor / conector, con índice total 37.08. Su perfil permite valorar impacto individual dentro del modelo colectivo."
20,Ranking total LaLiga,Alaves,Jonny,Defender,2548.0,29.0,29.0,0.0,0.0,1498.0,134.0,133.0,36.0,35.0,5.34,50.18,56.72,36.45,Sostén defensivo,"Jonny (Alaves) aparece como sostén defensivo, con índice total 36.45. Su perfil permite valorar impacto individual dentro del modelo colectivo."
21,Ranking total LaLiga,Elche,Germán Valera,Forward,2318.0,29.0,27.0,4.0,4.0,968.0,106.0,144.0,33.0,15.0,30.38,35.59,44.01,36.3,Sostén defensivo,"Germán Valera (Elche) aparece como sostén defensivo, con índice total 36.30. Su perfil permite valorar impacto individual dentro del modelo colectivo."
22,Ranking total LaLiga,Barcelona,Dani Olmo,Midfielder,1605.0,25.0,18.0,7.0,5.0,976.0,84.0,89.0,19.0,13.0,41.85,36.21,29.75,36.25,Amenaza ofensiva,"Dani Olmo (Barcelona) aparece como amenaza ofensiva, con índice total 36.25. Su perfil permite valorar impacto individual dentro del modelo colectivo."
23,Ranking total LaLiga,Espanyol,Carlos Romero,Defender,2490.0,28.0,28.0,5.0,2.0,785.0,139.0,136.0,48.0,31.0,21.35,29.57,60.05,35.84,Sostén defensivo,"Carlos Romero (Espanyol) aparece como sostén defensivo, con índice total 35.84. Su perfil permite valorar impacto individual dentro del modelo colectivo."
24,Ranking total LaLiga,Barcelona,J. Koundé,Defender,1931.0,26.0,20.0,1.0,3.0,1619.0,73.0,118.0,22.0,25.0,18.41,48.76,40.23,35.58,Progresor / conector,"J. Koundé (Barcelona) aparece como progresor / conector, con índice total 35.58. Su perfil permite valorar impacto individual dentro del modelo colectivo."
25,Ranking total LaLiga,Espanyol,Edu Expósito,Midfielder,1909.0,28.0,24.0,1.0,5.0,787.0,85.0,108.0,22.0,17.0,32.07,39.51,34.78,35.48,Progresor / conector,"Edu Expósito (Espanyol) aparece como progresor / conector, con índice total 35.48. Su perfil permite valorar impacto individual dentro del modelo colectivo."
