ranking,tipo_ranking,equipo,jugador,position,minutos,partidos,titularidades,goles,asistencias,pases_totales,recuperaciones,duelos_ganados,entradas_ganadas,intercepciones,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,rol_tactico,lectura_dashboard
1,Ranking progresión LaLiga,Barcelona,Lamine Yamal,Forward,2134.0,26.0,24.0,14.0,6.0,1299.0,94.0,210.0,21.0,10.0,74.06,67.36,40.23,61.57,Amenaza ofensiva,"Lamine Yamal (Barcelona) aparece como amenaza ofensiva, con índice total 61.57. Su perfil permite valorar impacto individual dentro del modelo colectivo."
2,Ranking progresión LaLiga,Celta,Marcos Alonso,Defender,2154.0,25.0,24.0,1.0,0.0,1824.0,119.0,91.0,17.0,25.0,6.3,66.82,46.58,39.56,Progresor / conector,"Marcos Alonso (Celta) aparece como progresor / conector, con índice total 39.56. Su perfil permite valorar impacto individual dentro del modelo colectivo."
3,Ranking progresión LaLiga,Girona,D. Blind,Defender,2377.0,28.0,27.0,0.0,0.0,1889.0,130.0,107.0,31.0,36.0,3.13,64.7,57.75,41.06,Progresor / conector,"D. Blind (Girona) aparece como progresor / conector, con índice total 41.06. Su perfil permite valorar impacto individual dentro del modelo colectivo."
4,Ranking progresión LaLiga,Barcelona,Pedri,Midfielder,1543.0,22.0,17.0,2.0,5.0,1510.0,122.0,112.0,23.0,19.0,29.45,63.3,39.1,44.19,Progresor / conector,"Pedri (Barcelona) aparece como progresor / conector, con índice total 44.19. Su perfil permite valorar impacto individual dentro del modelo colectivo."
5,Ranking progresión LaLiga,Betis,Pablo Fornals,Midfielder,2353.0,30.0,27.0,7.0,4.0,1451.0,121.0,85.0,24.0,28.0,43.73,60.74,41.03,48.87,Progresor / conector,"Pablo Fornals (Betis) aparece como progresor / conector, con índice total 48.87. Su perfil permite valorar impacto individual dentro del modelo colectivo."
6,Ranking progresión LaLiga,Barcelona,Pau Cubarsí,Defender,2196.0,25.0,25.0,1.0,0.0,2205.0,86.0,91.0,20.0,27.0,3.71,60.7,43.1,35.47,Progresor / conector,"Pau Cubarsí (Barcelona) aparece como progresor / conector, con índice total 35.47. Su perfil permite valorar impacto individual dentro del modelo colectivo."
7,Ranking progresión LaLiga,Barcelona,Eric García,Defender,2253.0,28.0,26.0,1.0,2.0,1900.0,100.0,127.0,37.0,39.0,16.27,60.52,56.24,43.75,Progresor / conector,"Eric García (Barcelona) aparece como progresor / conector, con índice total 43.75. Su perfil permite valorar impacto individual dentro del modelo colectivo."
8,Ranking progresión LaLiga,Elche,Aleix Febas,Midfielder,2565.0,29.0,29.0,2.0,0.0,1595.0,145.0,195.0,37.0,21.0,13.39,59.45,54.84,41.94,Progresor / conector,"Aleix Febas (Elche) aparece como progresor / conector, con índice total 41.94. Su perfil permite valorar impacto individual dentro del modelo colectivo."
9,Ranking progresión LaLiga,Real Madrid,F. Valverde,Midfielder,2296.0,28.0,26.0,4.0,4.0,1577.0,122.0,88.0,22.0,20.0,30.5,54.33,39.24,41.46,Progresor / conector,"F. Valverde (Real Madrid) aparece como progresor / conector, con índice total 41.46. Su perfil permite valorar impacto individual dentro del modelo colectivo."
10,Ranking progresión LaLiga,Atletico Madrid,Koke,Midfielder,1771.0,28.0,19.0,2.0,1.0,1561.0,105.0,72.0,20.0,16.0,13.66,53.55,31.91,33.09,Progresor / conector,"Koke (Atletico Madrid) aparece como progresor / conector, con índice total 33.09. Su perfil permite valorar impacto individual dentro del modelo colectivo."
11,Ranking progresión LaLiga,Real Madrid,A. Güler,Midfielder,1926.0,30.0,24.0,4.0,8.0,1258.0,97.0,102.0,27.0,8.0,48.9,53.23,31.79,45.28,Progresor / conector,"A. Güler (Real Madrid) aparece como progresor / conector, con índice total 45.28. Su perfil permite valorar impacto individual dentro del modelo colectivo."
12,Ranking progresión LaLiga,Real Madrid,A. Tchouaméni,Midfielder,2240.0,27.0,26.0,1.0,0.0,1610.0,125.0,147.0,36.0,34.0,10.47,52.97,56.42,39.13,Sostén defensivo,"A. Tchouaméni (Real Madrid) aparece como sostén defensivo, con índice total 39.13. Su perfil permite valorar impacto individual dentro del modelo colectivo."
13,Ranking progresión LaLiga,Real Madrid,Álvaro Carreras,Defender,2064.0,25.0,23.0,2.0,1.0,1498.0,138.0,105.0,17.0,35.0,12.96,51.75,48.1,37.08,Progresor / conector,"Álvaro Carreras (Real Madrid) aparece como progresor / conector, con índice total 37.08. Su perfil permite valorar impacto individual dentro del modelo colectivo."
14,Ranking progresión LaLiga,Barcelona,F. de Jong,Midfielder,1496.0,19.0,16.0,1.0,4.0,1388.0,81.0,76.0,15.0,17.0,19.93,50.31,28.16,33.03,Progresor / conector,"F. de Jong (Barcelona) aparece como progresor / conector, con índice total 33.03. Su perfil permite valorar impacto individual dentro del modelo colectivo."
15,Ranking progresión LaLiga,Alaves,Jonny,Defender,2548.0,29.0,29.0,0.0,0.0,1498.0,134.0,133.0,36.0,35.0,5.34,50.18,56.72,36.45,Sostén defensivo,"Jonny (Alaves) aparece como sostén defensivo, con índice total 36.45. Su perfil permite valorar impacto individual dentro del modelo colectivo."
16,Ranking progresión LaLiga,Barcelona,J. Koundé,Defender,1931.0,26.0,20.0,1.0,3.0,1619.0,73.0,118.0,22.0,25.0,18.41,48.76,40.23,35.58,Progresor / conector,"J. Koundé (Barcelona) aparece como progresor / conector, con índice total 35.58. Su perfil permite valorar impacto individual dentro del modelo colectivo."
17,Ranking progresión LaLiga,Real Madrid,Dean Huijsen,Defender,1648.0,22.0,20.0,2.0,1.0,1327.0,61.0,81.0,14.0,17.0,9.86,48.46,33.51,30.47,Progresor / conector,"Dean Huijsen (Real Madrid) aparece como progresor / conector, con índice total 30.47. Su perfil permite valorar impacto individual dentro del modelo colectivo."
18,Ranking progresión LaLiga,Real Madrid,Vinícius Júnior,Forward,2214.0,29.0,25.0,11.0,4.0,896.0,67.0,162.0,14.0,2.0,62.61,48.05,27.14,46.87,Amenaza ofensiva,"Vinícius Júnior (Real Madrid) aparece como amenaza ofensiva, con índice total 46.87. Su perfil permite valorar impacto individual dentro del modelo colectivo."
19,Ranking progresión LaLiga,Rayo Vallecano,F. Lejeune,Defender,2691.0,30.0,30.0,0.0,0.0,1763.0,135.0,149.0,31.0,35.0,9.24,47.53,67.12,40.01,Sostén defensivo,"F. Lejeune (Rayo Vallecano) aparece como sostén defensivo, con índice total 40.01. Su perfil permite valorar impacto individual dentro del modelo colectivo."
20,Ranking progresión LaLiga,Getafe,David Soria,Goalkeeper,2700.0,30.0,30.0,0.0,0.0,887.0,242.0,3.0,0.0,0.0,0.22,47.48,24.39,24.01,Progresor / conector,"David Soria (Getafe) aparece como progresor / conector, con índice total 24.01. Su perfil permite valorar impacto individual dentro del modelo colectivo."
21,Ranking progresión LaLiga,Elche,D. Affengruber,Defender,2265.0,28.0,25.0,0.0,0.0,1552.0,121.0,137.0,40.0,40.0,2.99,47.26,66.3,37.48,Sostén defensivo,"D. Affengruber (Elche) aparece como sostén defensivo, con índice total 37.48. Su perfil permite valorar impacto individual dentro del modelo colectivo."
22,Ranking progresión LaLiga,Rayo Vallecano,A. Batalla,Goalkeeper,2700.0,30.0,30.0,0.0,0.0,1084.0,262.0,15.0,1.0,0.0,0.45,45.84,26.52,24.16,Progresor / conector,"A. Batalla (Rayo Vallecano) aparece como progresor / conector, con índice total 24.16. Su perfil permite valorar impacto individual dentro del modelo colectivo."
23,Ranking progresión LaLiga,Real sociedad,Sergio Gómez,Forward,2155.0,28.0,24.0,0.0,1.0,1236.0,121.0,113.0,45.0,25.0,11.15,44.03,52.25,34.99,Sostén defensivo,"Sergio Gómez (Real sociedad) aparece como sostén defensivo, con índice total 34.99. Su perfil permite valorar impacto individual dentro del modelo colectivo."
24,Ranking progresión LaLiga,Getafe,Luis Milla,Midfielder,2564.0,29.0,29.0,0.0,8.0,1128.0,180.0,146.0,25.0,34.0,33.88,43.98,56.99,44.35,Sostén defensivo,"Luis Milla (Getafe) aparece como sostén defensivo, con índice total 44.35. Su perfil permite valorar impacto individual dentro del modelo colectivo."
25,Ranking progresión LaLiga,Rayo Vallecano,A. Rațiu,Defender,2313.0,27.0,26.0,0.0,3.0,1092.0,130.0,132.0,30.0,33.0,20.14,43.65,54.12,38.56,Sostén defensivo,"A. Rațiu (Rayo Vallecano) aparece como sostén defensivo, con índice total 38.56. Su perfil permite valorar impacto individual dentro del modelo colectivo."
1,Ranking defensivo LaLiga,Alaves,Antonio Blanco,Midfielder,2411.0,28.0,28.0,1.0,2.0,1519.0,165.0,158.0,45.0,45.0,14.06,42.38,67.71,40.07,Sostén defensivo,"Antonio Blanco (Alaves) aparece como sostén defensivo, con índice total 40.07. Su perfil permite valorar impacto individual dentro del modelo colectivo."
2,Ranking defensivo LaLiga,Rayo Vallecano,F. Lejeune,Defender,2691.0,30.0,30.0,0.0,0.0,1763.0,135.0,149.0,31.0,35.0,9.24,47.53,67.12,40.01,Sostén defensivo,"F. Lejeune (Rayo Vallecano) aparece como sostén defensivo, con índice total 40.01. Su perfil permite valorar impacto individual dentro del modelo colectivo."
3,Ranking defensivo LaLiga,Real sociedad,J. Aramburu,Defender,2301.0,28.0,26.0,1.0,0.0,1071.0,97.0,175.0,52.0,39.0,6.76,34.21,66.76,34.37,Sostén defensivo,"J. Aramburu (Real sociedad) aparece como sostén defensivo, con índice total 34.37. Su perfil permite valorar impacto individual dentro del modelo colectivo."
4,Ranking defensivo LaLiga,Elche,D. Affengruber,Defender,2265.0,28.0,25.0,0.0,0.0,1552.0,121.0,137.0,40.0,40.0,2.99,47.26,66.3,37.48,Sostén defensivo,"D. Affengruber (Elche) aparece como sostén defensivo, con índice total 37.48. Su perfil permite valorar impacto individual dentro del modelo colectivo."
5,Ranking defensivo LaLiga,Villareal,S. Mouriño,Defender,1946.0,23.0,22.0,1.0,0.0,1000.0,120.0,153.0,53.0,25.0,4.72,31.13,62.98,31.44,Sostén defensivo,"S. Mouriño (Villareal) aparece como sostén defensivo, con índice total 31.44. Su perfil permite valorar impacto individual dentro del modelo colectivo."
6,Ranking defensivo LaLiga,Getafe,Juan Iglesias,Defender,2473.0,29.0,28.0,1.0,2.0,684.0,88.0,195.0,58.0,18.0,11.88,28.36,62.85,32.94,Sostén defensivo,"Juan Iglesias (Getafe) aparece como sostén defensivo, con índice total 32.94. Su perfil permite valorar impacto individual dentro del modelo colectivo."
7,Ranking defensivo LaLiga,Espanyol,Carlos Romero,Defender,2490.0,28.0,28.0,5.0,2.0,785.0,139.0,136.0,48.0,31.0,21.35,29.57,60.05,35.84,Sostén defensivo,"Carlos Romero (Espanyol) aparece como sostén defensivo, con índice total 35.84. Su perfil permite valorar impacto individual dentro del modelo colectivo."
8,Ranking defensivo LaLiga,Girona,D. Blind,Defender,2377.0,28.0,27.0,0.0,0.0,1889.0,130.0,107.0,31.0,36.0,3.13,64.7,57.75,41.06,Progresor / conector,"D. Blind (Girona) aparece como progresor / conector, con índice total 41.06. Su perfil permite valorar impacto individual dentro del modelo colectivo."
9,Ranking defensivo LaLiga,Athletic Club,Mikel Jauregizar,Midfielder,2345.0,29.0,28.0,2.0,0.0,1104.0,140.0,129.0,38.0,41.0,11.34,37.87,57.74,34.55,Sostén defensivo,"Mikel Jauregizar (Athletic Club) aparece como sostén defensivo, con índice total 34.55. Su perfil permite valorar impacto individual dentro del modelo colectivo."
10,Ranking defensivo LaLiga,Getafe,Luis Milla,Midfielder,2564.0,29.0,29.0,0.0,8.0,1128.0,180.0,146.0,25.0,34.0,33.88,43.98,56.99,44.35,Sostén defensivo,"Luis Milla (Getafe) aparece como sostén defensivo, con índice total 44.35. Su perfil permite valorar impacto individual dentro del modelo colectivo."
11,Ranking defensivo LaLiga,Alaves,Jonny,Defender,2548.0,29.0,29.0,0.0,0.0,1498.0,134.0,133.0,36.0,35.0,5.34,50.18,56.72,36.45,Sostén defensivo,"Jonny (Alaves) aparece como sostén defensivo, con índice total 36.45. Su perfil permite valorar impacto individual dentro del modelo colectivo."
12,Ranking defensivo LaLiga,Real Madrid,A. Tchouaméni,Midfielder,2240.0,27.0,26.0,1.0,0.0,1610.0,125.0,147.0,36.0,34.0,10.47,52.97,56.42,39.13,Sostén defensivo,"A. Tchouaméni (Real Madrid) aparece como sostén defensivo, con índice total 39.13. Su perfil permite valorar impacto individual dentro del modelo colectivo."
13,Ranking defensivo LaLiga,Barcelona,Eric García,Defender,2253.0,28.0,26.0,1.0,2.0,1900.0,100.0,127.0,37.0,39.0,16.27,60.52,56.24,43.75,Progresor / conector,"Eric García (Barcelona) aparece como progresor / conector, con índice total 43.75. Su perfil permite valorar impacto individual dentro del modelo colectivo."
