fase_tactica,jugador_lider,posicion,metrica_clave,valor,lectura
Finalización / amenaza ofensiva,Mikel Oyarzabal,Forward,indice_ofensivo,50.13,Jugador con mayor peso en la producción ofensiva del equipo.
Progresión / conexión,Sergio Gómez,Forward,indice_progresion,44.03,Jugador más destacado en la capacidad para avanzar y conectar el juego.
Defensa / presión tras pérdida,J. Aramburu,Defender,indice_defensivo,66.76,"Jugador con mayor impacto en acciones defensivas, duelos e intervenciones sin balón."
Perfil global,Mikel Oyarzabal,Forward,indice_total_jugador,35.0,Jugador con rendimiento más completo según los índices agregados.
