KPI,Muestra 30,Bloque 5,Diferencia
Pases,485.8666666666667,444.8,-41.06666666666666
Precisión,79.78866666666666,78.52000000000001,-1.2686666666666468
Campo rival,45.34666666666668,38.074,-7.27266666666668
Zona peligrosa,21.866666666666667,25.5,3.633333333333333
Eventos/min,9.651000000000003,9.024,-0.6270000000000042
