equipo,jugador,posicion,minutos,muestra_suficiente,perfil_jugador,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,ranking_total_laliga,ranking_ofensivo_laliga,ranking_progresion_laliga,ranking_defensivo_laliga,ranking_total_equipo,lectura_dashboard
Real Madrid,T. Alexander-Arnold,Defender,753.0,Sí,Progresor / conector,9.1,20.73,11.63,13.93,282,185,190,353,14,T. Alexander-Arnold (Real Madrid) aparece como progresor / conector. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 282 en el ranking global de LaLiga.
Girona,T. Lemar,Midfielder,999.0,Sí,Progresor / conector,9.76,17.68,13.94,13.79,283,176,227,331,15,T. Lemar (Girona) aparece como progresor / conector. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 283 en el ranking global de LaLiga.
Real Madrid,A. Rüdiger,Defender,1086.0,Sí,Progresor / conector,3.07,24.09,14.23,13.78,284,336,151,322,15,A. Rüdiger (Real Madrid) aparece como progresor / conector. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 284 en el ranking global de LaLiga.
Valencia,Diego López,Forward,1330.0,Sí,Sostén defensivo,11.01,12.08,18.27,13.56,285,156,293,256,15,Diego López (Valencia) aparece como sostén defensivo. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 285 en el ranking global de LaLiga.
Getafe,Adrián Liso,Forward,1509.0,Sí,Sostén defensivo,11.25,8.33,22.11,13.48,286,153,359,220,10,Adrián Liso (Getafe) aparece como sostén defensivo. Ocupa el puesto 10 dentro de su equipo por índice total y el puesto 286 en el ranking global de LaLiga.
Getafe,M. Satriano,Forward,974.0,Sí,Sostén defensivo,13.2,8.29,19.57,13.39,287,126,360,239,11,M. Satriano (Getafe) aparece como sostén defensivo. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 287 en el ranking global de LaLiga.
Real Madrid,F. Mastantuono,Forward,786.0,Sí,Progresor / conector,8.35,17.74,13.83,13.28,288,201,225,332,16,F. Mastantuono (Real Madrid) aparece como progresor / conector. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 288 en el ranking global de LaLiga.
Villareal,J. Foyth,Defender,936.0,Sí,Sostén defensivo,0.12,17.81,23.29,13.26,289,426,223,209,18,J. Foyth (Villareal) aparece como sostén defensivo. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 289 en el ranking global de LaLiga.
Alaves,A. Rebbach,Forward,908.0,Sí,Sostén defensivo,11.04,11.09,18.3,13.23,290,155,307,255,14,A. Rebbach (Alaves) aparece como sostén defensivo. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 290 en el ranking global de LaLiga.
Espanyol,C. Riedel,Defender,1205.0,Sí,Sostén defensivo,1.11,15.07,24.96,13.15,291,386,261,194,13,C. Riedel (Espanyol) aparece como sostén defensivo. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 291 en el ranking global de LaLiga.
Osasuna,Raúl García,Forward,779.0,Sí,Amenaza ofensiva,17.75,5.68,16.3,13.09,292,93,395,280,15,Raúl García (Osasuna) aparece como amenaza ofensiva. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 292 en el ranking global de LaLiga.
Real Madrid,Brahim Díaz,Midfielder,752.0,Sí,Progresor / conector,13.31,14.56,10.67,12.95,293,124,268,365,17,Brahim Díaz (Real Madrid) aparece como progresor / conector. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 293 en el ranking global de LaLiga.
Barcelona,Joan García,Goalkeeper,2160.0,Sí,Sostén defensivo,0.0,14.18,26.57,12.94,294,429,271,172,17,Joan García (Barcelona) aparece como sostén defensivo. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 294 en el ranking global de LaLiga.
Elche,Adrià Pedrosa,Defender,867.0,Sí,Sostén defensivo,8.32,11.93,19.44,12.92,295,203,298,240,16,Adrià Pedrosa (Elche) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 295 en el ranking global de LaLiga.
Sevilla,Adrià Pedrosa,Defender,867.0,Sí,Sostén defensivo,8.32,11.93,19.44,12.92,295,203,298,240,15,Adrià Pedrosa (Sevilla) aparece como sostén defensivo. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 295 en el ranking global de LaLiga.
Sevilla,Oso,Defender,870.0,Sí,Sostén defensivo,12.07,12.29,14.45,12.86,297,140,290,318,16,Oso (Sevilla) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 297 en el ranking global de LaLiga.
Barcelona,João Cancelo,Defender,525.0,Sí,Sostén defensivo,10.04,12.83,16.01,12.81,298,171,285,288,18,João Cancelo (Barcelona) aparece como sostén defensivo. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 298 en el ranking global de LaLiga.
Getafe,A. Abqar,Defender,1005.0,Sí,Sostén defensivo,3.85,9.56,26.88,12.76,299,309,334,169,12,A. Abqar (Getafe) aparece como sostén defensivo. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 299 en el ranking global de LaLiga.
Rayo Vallecano,Fran Pérez,Midfielder,1090.0,Sí,Sostén defensivo,12.36,11.03,14.93,12.67,300,137,311,310,14,Fran Pérez (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 300 en el ranking global de LaLiga.
Sevilla,Isaac Romero,Forward,1095.0,Sí,Amenaza ofensiva,15.89,8.65,13.12,12.52,301,109,352,339,17,Isaac Romero (Sevilla) aparece como amenaza ofensiva. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 301 en el ranking global de LaLiga.
Atletico Madrid,J. Cardoso,Midfielder,770.0,Sí,Sostén defensivo,0.97,15.67,21.79,12.36,302,392,255,221,21,J. Cardoso (Atletico Madrid) aparece como sostén defensivo. Ocupa el puesto 21 dentro de su equipo por índice total y el puesto 302 en el ranking global de LaLiga.
Athletic Club,Alejandro Rego,Midfielder,826.0,Sí,Sostén defensivo,4.68,11.12,22.5,12.28,303,289,306,215,15,Alejandro Rego (Athletic Club) aparece como sostén defensivo. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 303 en el ranking global de LaLiga.
Getafe,Z. Romero,Defender,900.0,Sí,Sostén defensivo,0.76,10.19,28.06,12.25,304,403,324,154,13,Z. Romero (Getafe) aparece como sostén defensivo. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 304 en el ranking global de LaLiga.
Sevilla,C. Ejuke,Forward,688.0,Sí,Sostén defensivo,8.35,12.65,15.61,12.04,305,201,287,290,18,C. Ejuke (Sevilla) aparece como sostén defensivo. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 305 en el ranking global de LaLiga.
Barcelona,Marc Casadó,Midfielder,860.0,Sí,Progresor / conector,2.25,20.12,13.52,11.89,306,361,198,333,19,Marc Casadó (Barcelona) aparece como progresor / conector. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 306 en el ranking global de LaLiga.
Oviedo,K. Sibo,Midfielder,1376.0,Sí,Sostén defensivo,1.59,11.67,23.85,11.8,307,377,303,204,14,K. Sibo (Oviedo) aparece como sostén defensivo. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 307 en el ranking global de LaLiga.
Betis,Diego Llorente,Defender,718.0,Sí,Sostén defensivo,2.28,11.92,22.15,11.62,308,360,300,219,13,Diego Llorente (Betis) aparece como sostén defensivo. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 308 en el ranking global de LaLiga.
Valencia,D. Foulquier,Defender,1148.0,Sí,Sostén defensivo,2.31,14.69,18.82,11.6,309,357,266,249,16,D. Foulquier (Valencia) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 309 en el ranking global de LaLiga.
Betis,R. Rodríguez,Defender,1205.0,Sí,Progresor / conector,3.51,16.45,15.37,11.6,309,320,240,299,14,R. Rodríguez (Betis) aparece como progresor / conector. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 309 en el ranking global de LaLiga.
Betis,Álvaro Valles,Goalkeeper,1890.0,Sí,Progresor / conector,0.0,18.19,17.0,11.46,311,429,218,273,15,Álvaro Valles (Betis) aparece como progresor / conector. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 311 en el ranking global de LaLiga.
Betis,S. Amrabat,Midfielder,782.0,Sí,Progresor / conector,1.61,17.68,15.38,11.37,312,376,227,298,16,S. Amrabat (Betis) aparece como progresor / conector. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 312 en el ranking global de LaLiga.
Celta,Pablo Durán,Forward,1108.0,Sí,Amenaza ofensiva,13.59,8.74,11.74,11.34,313,122,350,352,19,Pablo Durán (Celta) aparece como amenaza ofensiva. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 313 en el ranking global de LaLiga.
Sevilla,Marcão,Defender,937.0,Sí,Sostén defensivo,1.75,15.33,17.41,11.2,314,374,257,268,19,Marcão (Sevilla) aparece como sostén defensivo. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 314 en el ranking global de LaLiga.
Levante,Oriol Rey,Midfielder,1184.0,Sí,Sostén defensivo,2.4,14.0,18.06,11.16,315,352,275,260,12,Oriol Rey (Levante) aparece como sostén defensivo. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 315 en el ranking global de LaLiga.
Girona,Alejandro Francés,Defender,630.0,Sí,Sostén defensivo,3.35,15.25,15.45,11.15,316,323,259,293,16,Alejandro Francés (Girona) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 316 en el ranking global de LaLiga.
Alaves,Calebe,Midfielder,721.0,Sí,Sostén defensivo,4.08,12.08,17.97,11.05,317,302,293,263,15,Calebe (Alaves) aparece como sostén defensivo. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 317 en el ranking global de LaLiga.
Valencia,B. Santamaría,Midfielder,744.0,Sí,Sostén defensivo,5.75,12.17,15.42,10.9,318,262,291,294,17,B. Santamaría (Valencia) aparece como sostén defensivo. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 318 en el ranking global de LaLiga.
Villareal,T. Partey,Midfielder,748.0,Sí,Progresor / conector,1.9,16.41,14.92,10.89,319,371,242,311,19,T. Partey (Villareal) aparece como progresor / conector. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 319 en el ranking global de LaLiga.
Atletico Madrid,C. Gallagher,Midfielder,665.0,Sí,Sostén defensivo,7.08,10.02,16.23,10.85,320,230,327,284,22,C. Gallagher (Atletico Madrid) aparece como sostén defensivo. Ocupa el puesto 22 dentro de su equipo por índice total y el puesto 320 en el ranking global de LaLiga.
Athletic Club,Andoni Gorosabel,Defender,816.0,Sí,Sostén defensivo,5.33,9.86,18.45,10.85,320,271,331,254,16,Andoni Gorosabel (Athletic Club) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 320 en el ranking global de LaLiga.
Mallorca,Antonio Sánchez,Midfielder,966.0,Sí,Sostén defensivo,3.66,11.04,18.53,10.7,322,317,310,252,14,Antonio Sánchez (Mallorca) aparece como sostén defensivo. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 322 en el ranking global de LaLiga.
Real Madrid,Dani Ceballos,Midfielder,466.0,Sí,Progresor / conector,2.49,15.9,14.1,10.67,323,350,252,324,18,Dani Ceballos (Real Madrid) aparece como progresor / conector. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 323 en el ranking global de LaLiga.
Levante,Unai Vencedor,Midfielder,818.0,Sí,Sostén defensivo,2.75,13.76,16.29,10.66,324,348,278,282,13,Unai Vencedor (Levante) aparece como sostén defensivo. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 324 en el ranking global de LaLiga.
Athletic Club,Unai Vencedor,Midfielder,818.0,Sí,Sostén defensivo,2.75,13.76,16.29,10.66,324,348,278,282,17,Unai Vencedor (Athletic Club) aparece como sostén defensivo. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 324 en el ranking global de LaLiga.
Real sociedad,Pablo Marín,Midfielder,1124.0,Sí,Sostén defensivo,6.51,10.91,15.17,10.65,326,240,314,303,17,Pablo Marín (Real sociedad) aparece como sostén defensivo. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 326 en el ranking global de LaLiga.
Levante,Carlos Espí,Forward,649.0,Sí,Amenaza ofensiva,17.86,2.85,11.21,10.61,327,90,434,362,14,Carlos Espí (Levante) aparece como amenaza ofensiva. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 327 en el ranking global de LaLiga.
Rayo Vallecano,I. Akhomach,Forward,704.0,Sí,Sostén defensivo,6.21,10.81,15.4,10.58,328,246,315,296,15,I. Akhomach (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 328 en el ranking global de LaLiga.
Villareal,I. Akhomach,Forward,704.0,Sí,Sostén defensivo,6.21,10.81,15.4,10.58,328,246,315,296,20,I. Akhomach (Villareal) aparece como sostén defensivo. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 328 en el ranking global de LaLiga.
Levante,A. Matturro,Defender,834.0,Sí,Sostén defensivo,3.01,9.46,20.65,10.56,330,337,337,227,15,A. Matturro (Levante) aparece como sostén defensivo. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 330 en el ranking global de LaLiga.
Sevilla,Andrés Castrín,Defender,731.0,Sí,Sostén defensivo,1.01,12.12,19.73,10.51,331,391,292,236,20,Andrés Castrín (Sevilla) aparece como sostén defensivo. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 331 en el ranking global de LaLiga.
Betis,Rodrigo Riquelme,Midfielder,644.0,Sí,Progresor / conector,8.98,12.07,10.29,10.46,332,186,295,369,17,Rodrigo Riquelme (Betis) aparece como progresor / conector. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 332 en el ranking global de LaLiga.
Barcelona,Marc Bernal,Midfielder,527.0,Sí,Sostén defensivo,7.16,10.35,13.99,10.32,333,225,321,329,20,Marc Bernal (Barcelona) aparece como sostén defensivo. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 333 en el ranking global de LaLiga.
Valencia,G. Rodríguez,Midfielder,588.0,Sí,Sostén defensivo,4.33,9.96,17.65,10.3,334,297,328,265,18,G. Rodríguez (Valencia) aparece como sostén defensivo. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 334 en el ranking global de LaLiga.
Valencia,Julen Agirrezabala,Goalkeeper,1620.0,Sí,Progresor / conector,0.22,16.13,15.14,10.27,335,419,247,304,19,Julen Agirrezabala (Valencia) aparece como progresor / conector. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 335 en el ranking global de LaLiga.
Oviedo,Santi Cazorla,Midfielder,625.0,Sí,Progresor / conector,6.97,13.53,10.13,10.21,336,232,280,372,15,Santi Cazorla (Oviedo) aparece como progresor / conector. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 336 en el ranking global de LaLiga.
Oviedo,E. Bailly,Defender,864.0,Sí,Sostén defensivo,2.25,11.0,18.23,10.11,337,361,312,257,16,E. Bailly (Oviedo) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 337 en el ranking global de LaLiga.
Oviedo,Dani Calvo,Defender,1069.0,Sí,Sostén defensivo,0.52,10.28,21.01,10.08,338,409,322,225,17,Dani Calvo (Oviedo) aparece como sostén defensivo. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 338 en el ranking global de LaLiga.
Levante,Víctor García,Defender,768.0,Sí,Sostén defensivo,7.79,7.67,15.54,10.08,338,215,367,292,16,Víctor García (Levante) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 338 en el ranking global de LaLiga.
Celta,Manu Fernández,Defender,714.0,Sí,Progresor / conector,0.45,15.89,14.09,9.95,340,412,253,326,20,Manu Fernández (Celta) aparece como progresor / conector. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 340 en el ranking global de LaLiga.
Rayo Vallecano,Gerard Gumbau,Midfielder,767.0,Sí,Sostén defensivo,7.11,9.22,13.95,9.9,341,229,340,330,16,Gerard Gumbau (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 341 en el ranking global de LaLiga.
Betis,J. Firpo,Defender,676.0,Sí,Sostén defensivo,5.02,9.24,15.84,9.74,342,282,339,289,18,J. Firpo (Betis) aparece como sostén defensivo. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 342 en el ranking global de LaLiga.
Getafe,Borja Mayoral,Forward,1044.0,Sí,Amenaza ofensiva,10.14,8.94,9.97,9.67,343,169,345,375,14,Borja Mayoral (Getafe) aparece como amenaza ofensiva. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 343 en el ranking global de LaLiga.
Espanyol,Rubén Sánchez,Defender,496.0,Sí,Sostén defensivo,3.74,11.73,14.04,9.62,344,314,301,328,14,Rubén Sánchez (Espanyol) aparece como sostén defensivo. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 344 en el ranking global de LaLiga.
Espanyol,Ramon Terrats,Midfielder,724.0,Sí,Sostén defensivo,7.54,7.46,14.32,9.54,345,223,371,320,15,Ramon Terrats (Espanyol) aparece como sostén defensivo. Ocupa el puesto 15 dentro de su equipo por índice total y el puesto 345 en el ranking global de LaLiga.
Espanyol,Jofre Carreras,Forward,790.0,Sí,Sostén defensivo,7.62,9.21,11.89,9.46,346,219,341,351,16,Jofre Carreras (Espanyol) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 346 en el ranking global de LaLiga.
Levante,Unai Elgezabal,Defender,958.0,Sí,Sostén defensivo,2.77,11.14,15.09,9.4,347,347,305,306,17,Unai Elgezabal (Levante) aparece como sostén defensivo. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 347 en el ranking global de LaLiga.
Villareal,Ayoze Pérez,Forward,819.0,Sí,Sostén defensivo,8.37,7.9,12.28,9.38,348,200,365,350,21,Ayoze Pérez (Villareal) aparece como sostén defensivo. Ocupa el puesto 21 dentro de su equipo por índice total y el puesto 348 en el ranking global de LaLiga.
Levante,Iker Losada,Forward,686.0,Sí,Sostén defensivo,10.86,6.17,11.35,9.36,349,158,390,358,18,Iker Losada (Levante) aparece como sostén defensivo. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 349 en el ranking global de LaLiga.
Betis,Iker Losada,Midfielder,686.0,Sí,Sostén defensivo,10.86,6.17,11.35,9.36,349,158,390,358,19,Iker Losada (Betis) aparece como sostén defensivo. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 349 en el ranking global de LaLiga.
Real sociedad,L. Sučić,Midfielder,641.0,Sí,Progresor / conector,8.51,10.48,8.95,9.33,351,198,320,387,18,L. Sučić (Real sociedad) aparece como progresor / conector. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 351 en el ranking global de LaLiga.
Oviedo,N. Fonseca,Midfielder,600.0,Sí,Sostén defensivo,0.82,10.61,17.63,9.29,352,400,319,266,18,N. Fonseca (Oviedo) aparece como sostén defensivo. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 352 en el ranking global de LaLiga.
Alaves,Ander Guevara,Midfielder,555.0,Sí,Sostén defensivo,2.48,11.07,14.57,9.11,353,351,308,316,16,Ander Guevara (Alaves) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 353 en el ranking global de LaLiga.
Real Madrid,Gonzalo García,Forward,665.0,Sí,Amenaza ofensiva,12.24,6.02,8.73,9.01,354,138,392,390,19,Gonzalo García (Real Madrid) aparece como amenaza ofensiva. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 354 en el ranking global de LaLiga.
Levante,Kareem Tunde,Forward,864.0,Sí,Sostén defensivo,5.32,5.32,17.14,8.87,355,272,401,271,19,Kareem Tunde (Levante) aparece como sostén defensivo. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 355 en el ranking global de LaLiga.
Valencia,S. Dimitrievski,Goalkeeper,1080.0,Sí,Progresor / conector,0.0,16.05,10.27,8.7,356,429,249,370,20,S. Dimitrievski (Valencia) aparece como progresor / conector. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 356 en el ranking global de LaLiga.
Betis,Ángel Ortiz,Defender,582.0,Sí,Sostén defensivo,2.29,9.13,15.58,8.67,357,359,342,291,20,Ángel Ortiz (Betis) aparece como sostén defensivo. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 357 en el ranking global de LaLiga.
Valencia,Jesús Vázquez,Defender,731.0,Sí,Sostén defensivo,2.84,9.78,14.08,8.64,358,346,332,327,21,Jesús Vázquez (Valencia) aparece como sostén defensivo. Ocupa el puesto 21 dentro de su equipo por índice total y el puesto 358 en el ranking global de LaLiga.
Real sociedad,U. Sadiq,Forward,666.0,Sí,Amenaza ofensiva,11.68,6.33,7.44,8.54,359,147,386,400,19,U. Sadiq (Real sociedad) aparece como amenaza ofensiva. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 359 en el ranking global de LaLiga.
Valencia,U. Sadiq,Forward,666.0,Sí,Amenaza ofensiva,11.68,6.33,7.44,8.54,359,147,386,400,22,U. Sadiq (Valencia) aparece como amenaza ofensiva. Ocupa el puesto 22 dentro de su equipo por índice total y el puesto 359 en el ranking global de LaLiga.
Valencia,M. Diakhaby,Defender,544.0,Sí,Sostén defensivo,3.29,8.47,14.57,8.49,361,327,356,316,23,M. Diakhaby (Valencia) aparece como sostén defensivo. Ocupa el puesto 23 dentro de su equipo por índice total y el puesto 361 en el ranking global de LaLiga.
Alaves,F. Garcés,Defender,792.0,Sí,Sostén defensivo,1.96,7.4,17.34,8.48,362,370,372,270,17,F. Garcés (Alaves) aparece como sostén defensivo. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 362 en el ranking global de LaLiga.
Betis,N. Deossa,Midfielder,598.0,Sí,Sostén defensivo,1.53,9.71,15.0,8.43,363,379,333,309,21,N. Deossa (Betis) aparece como sostén defensivo. Ocupa el puesto 21 dentro de su equipo por índice total y el puesto 363 en el ranking global de LaLiga.
Osasuna,Iker Muñoz,Midfielder,676.0,Sí,Sostén defensivo,2.2,10.22,13.49,8.39,364,365,323,334,16,Iker Muñoz (Osasuna) aparece como sostén defensivo. Ocupa el puesto 16 dentro de su equipo por índice total y el puesto 364 en el ranking global de LaLiga.
Levante,Roger Brugué,Midfielder,900.0,Sí,Sostén defensivo,7.66,6.86,10.63,8.27,365,217,380,366,20,Roger Brugué (Levante) aparece como sostén defensivo. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 365 en el ranking global de LaLiga.
Real sociedad,Aihen Muñoz,Defender,681.0,Sí,Sostén defensivo,1.56,8.99,15.01,8.2,366,378,343,307,20,Aihen Muñoz (Real sociedad) aparece como sostén defensivo. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 366 en el ranking global de LaLiga.
Alaves,Jon Guridi,Midfielder,736.0,Sí,Sostén defensivo,3.44,8.37,13.08,8.06,367,321,358,340,18,Jon Guridi (Alaves) aparece como sostén defensivo. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 367 en el ranking global de LaLiga.
Athletic Club,Adama Boiro,Defender,593.0,Sí,Sostén defensivo,0.91,9.26,15.01,8.06,367,394,338,307,18,Adama Boiro (Athletic Club) aparece como sostén defensivo. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 367 en el ranking global de LaLiga.
Elche,Josan,Midfielder,483.0,Sí,Amenaza ofensiva,9.39,7.54,7.03,8.04,369,180,369,407,17,Josan (Elche) aparece como amenaza ofensiva. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 369 en el ranking global de LaLiga.
Alaves,Ángel Pérez,Defender,583.0,Sí,Sostén defensivo,7.55,7.36,9.4,8.04,369,220,374,383,19,Ángel Pérez (Alaves) aparece como sostén defensivo. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 369 en el ranking global de LaLiga.
Oviedo,S. Rondón,Forward,1037.0,Sí,Sostén defensivo,7.95,4.96,11.21,7.88,371,213,407,362,19,S. Rondón (Oviedo) aparece como sostén defensivo. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 371 en el ranking global de LaLiga.
Celta,Carlos Domínguez,Defender,610.0,Sí,Sostén defensivo,0.83,10.1,13.31,7.82,372,398,325,338,21,Carlos Domínguez (Celta) aparece como sostén defensivo. Ocupa el puesto 21 dentro de su equipo por índice total y el puesto 372 en el ranking global de LaLiga.
Espanyol,Javi Puado,Forward,678.0,Sí,Amenaza ofensiva,9.66,6.79,6.8,7.8,373,177,382,409,17,Javi Puado (Espanyol) aparece como amenaza ofensiva. Ocupa el puesto 17 dentro de su equipo por índice total y el puesto 373 en el ranking global de LaLiga.
Valencia,Unai Núñez,Defender,655.0,Sí,Sostén defensivo,0.82,8.79,14.75,7.79,374,400,348,314,24,Unai Núñez (Valencia) aparece como sostén defensivo. Ocupa el puesto 24 dentro de su equipo por índice total y el puesto 374 en el ranking global de LaLiga.
Barcelona,R. Bardghji,Forward,384.0,Sí,Amenaza ofensiva,11.35,7.52,3.92,7.78,375,151,370,435,21,R. Bardghji (Barcelona) aparece como amenaza ofensiva. Ocupa el puesto 21 dentro de su equipo por índice total y el puesto 375 en el ranking global de LaLiga.
Sevilla,T. Nianzou,Defender,648.0,Sí,Sostén defensivo,1.04,8.73,14.42,7.75,376,388,351,319,21,T. Nianzou (Sevilla) aparece como sostén defensivo. Ocupa el puesto 21 dentro de su equipo por índice total y el puesto 376 en el ranking global de LaLiga.
Celta,J. El Abdellaoui,Forward,627.0,Sí,Sostén defensivo,7.77,7.38,8.01,7.7,377,216,373,398,22,J. El Abdellaoui (Celta) aparece como sostén defensivo. Ocupa el puesto 22 dentro de su equipo por índice total y el puesto 377 en el ranking global de LaLiga.
Real Madrid,Dani Carvajal,Defender,659.0,Sí,Progresor / conector,2.17,11.07,10.12,7.67,378,367,308,373,20,Dani Carvajal (Real Madrid) aparece como progresor / conector. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 378 en el ranking global de LaLiga.
Elche,G. Diangana,Forward,765.0,Sí,Sostén defensivo,5.44,8.27,9.55,7.66,379,268,361,381,18,G. Diangana (Elche) aparece como sostén defensivo. Ocupa el puesto 18 dentro de su equipo por índice total y el puesto 379 en el ranking global de LaLiga.
Celta,Fer López,Midfielder,556.0,Sí,Progresor / conector,3.65,10.64,8.51,7.55,380,318,318,393,23,Fer López (Celta) aparece como progresor / conector. Ocupa el puesto 23 dentro de su equipo por índice total y el puesto 380 en el ranking global de LaLiga.
Athletic Club,Mikel Vesga,Midfielder,400.0,Sí,Sostén defensivo,1.25,6.99,15.42,7.51,381,382,377,294,19,Mikel Vesga (Athletic Club) aparece como sostén defensivo. Ocupa el puesto 19 dentro de su equipo por índice total y el puesto 381 en el ranking global de LaLiga.
Oviedo,T. Fernández,Forward,398.0,Sí,Amenaza ofensiva,9.89,5.45,6.31,7.26,382,174,397,414,20,T. Fernández (Oviedo) aparece como amenaza ofensiva. Ocupa el puesto 20 dentro de su equipo por índice total y el puesto 382 en el ranking global de LaLiga.
Real Madrid,Fran García,Defender,594.0,Sí,Sostén defensivo,3.44,8.84,9.72,7.21,383,321,347,379,21,Fran García (Real Madrid) aparece como sostén defensivo. Ocupa el puesto 21 dentro de su equipo por índice total y el puesto 383 en el ranking global de LaLiga.
Oviedo,J. Brekalo,Forward,483.0,Sí,Progresor / conector,4.88,8.59,8.13,7.15,384,284,355,395,21,J. Brekalo (Oviedo) aparece como progresor / conector. Ocupa el puesto 21 dentro de su equipo por índice total y el puesto 384 en el ranking global de LaLiga.
