equipo,jugador,posicion,minutos,muestra_suficiente,perfil_jugador,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,ranking_total_laliga,ranking_ofensivo_laliga,ranking_progresion_laliga,ranking_defensivo_laliga,ranking_total_equipo,lectura_dashboard
Espanyol,Roberto Fernández,Forward,1910.0,Sí,Amenaza ofensiva,28.35,7.8,18.49,18.2,207,45,366,253,12,Roberto Fernández (Espanyol) aparece como amenaza ofensiva. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 207 en el ranking global de LaLiga.
Alaves,Denis Suárez,Midfielder,1061.0,Sí,Progresor / conector,8.58,26.76,19.2,18.13,208,194,128,242,11,Denis Suárez (Alaves) aparece como progresor / conector. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 208 en el ranking global de LaLiga.
Villareal,Denis Suárez,Midfielder,1061.0,Sí,Progresor / conector,8.58,26.76,19.2,18.13,208,194,128,242,13,Denis Suárez (Villareal) aparece como progresor / conector. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 208 en el ranking global de LaLiga.
Valencia,A. Danjuma,Forward,1571.0,Sí,Amenaza ofensiva,20.78,16.35,16.67,18.0,210,73,243,276,7,A. Danjuma (Valencia) aparece como amenaza ofensiva. Ocupa el puesto 7 dentro de su equipo por índice total y el puesto 210 en el ranking global de LaLiga.
Osasuna,Sergio Herrera,Goalkeeper,2700.0,Sí,Progresor / conector,0.06,29.74,25.19,17.99,211,428,94,189,11,Sergio Herrera (Osasuna) aparece como progresor / conector. Ocupa el puesto 11 dentro de su equipo por índice total y el puesto 211 en el ranking global de LaLiga.
Athletic Club,Jesús Areso,Defender,1416.0,Sí,Sostén defensivo,8.21,19.29,27.68,17.93,212,205,203,158,13,Jesús Areso (Athletic Club) aparece como sostén defensivo. Ocupa el puesto 13 dentro de su equipo por índice total y el puesto 212 en el ranking global de LaLiga.
Sevilla,A. Adams,Forward,1660.0,Sí,Amenaza ofensiva,30.38,9.55,13.06,17.89,213,35,335,341,9,A. Adams (Sevilla) aparece como amenaza ofensiva. Ocupa el puesto 9 dentro de su equipo por índice total y el puesto 213 en el ranking global de LaLiga.
Betis,Héctor Bellerín,Defender,1289.0,Sí,Progresor / conector,13.3,21.29,18.96,17.79,214,125,184,248,12,Héctor Bellerín (Betis) aparece como progresor / conector. Ocupa el puesto 12 dentro de su equipo por índice total y el puesto 214 en el ranking global de LaLiga.
Valencia,Thierry Correia,Defender,1266.0,Sí,Sostén defensivo,6.43,20.77,27.39,17.73,215,243,187,162,8,Thierry Correia (Valencia) aparece como sostén defensivo. Ocupa el puesto 8 dentro de su equipo por índice total y el puesto 215 en el ranking global de LaLiga.
Villareal,Pau Navarro,Defender,1528.0,Sí,Sostén defensivo,1.27,16.97,37.79,17.72,216,381,233,81,14,Pau Navarro (Villareal) aparece como sostén defensivo. Ocupa el puesto 14 dentro de su equipo por índice total y el puesto 216 en el ranking global de LaLiga.
