equipo,jugador,position,minutos,partidos,titularidades,goles,asistencias,pases_totales,recuperaciones,duelos_ganados,entradas_ganadas,intercepciones,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,rol_tactico,lectura_dashboard
Barcelona,Lamine Yamal,Forward,2134.0,26.0,24.0,14.0,6.0,1299.0,94.0,210.0,21.0,10.0,74.06,67.36,40.23,61.57,Amenaza ofensiva,"Lamine Yamal (Barcelona) aparece como amenaza ofensiva, con índice total 61.57. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Betis,Pablo Fornals,Midfielder,2353.0,30.0,27.0,7.0,4.0,1451.0,121.0,85.0,24.0,28.0,43.73,60.74,41.03,48.87,Progresor / conector,"Pablo Fornals (Betis) aparece como progresor / conector, con índice total 48.87. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,Vinícius Júnior,Forward,2214.0,29.0,25.0,11.0,4.0,896.0,67.0,162.0,14.0,2.0,62.61,48.05,27.14,46.87,Amenaza ofensiva,"Vinícius Júnior (Real Madrid) aparece como amenaza ofensiva, con índice total 46.87. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,K. Mbappé,Forward,2142.0,25.0,24.0,23.0,3.0,825.0,40.0,103.0,1.0,2.0,81.77,35.59,14.58,45.45,Amenaza ofensiva,"K. Mbappé (Real Madrid) aparece como amenaza ofensiva, con índice total 45.45. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,A. Güler,Midfielder,1926.0,30.0,24.0,4.0,8.0,1258.0,97.0,102.0,27.0,8.0,48.9,53.23,31.79,45.28,Progresor / conector,"A. Güler (Real Madrid) aparece como progresor / conector, con índice total 45.28. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,Luis Milla,Midfielder,2564.0,29.0,29.0,0.0,8.0,1128.0,180.0,146.0,25.0,34.0,33.88,43.98,56.99,44.35,Sostén defensivo,"Luis Milla (Getafe) aparece como sostén defensivo, con índice total 44.35. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,Pedri,Midfielder,1543.0,22.0,17.0,2.0,5.0,1510.0,122.0,112.0,23.0,19.0,29.45,63.3,39.1,44.19,Progresor / conector,"Pedri (Barcelona) aparece como progresor / conector, con índice total 44.19. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,Eric García,Defender,2253.0,28.0,26.0,1.0,2.0,1900.0,100.0,127.0,37.0,39.0,16.27,60.52,56.24,43.75,Progresor / conector,"Eric García (Barcelona) aparece como progresor / conector, con índice total 43.75. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Elche,Aleix Febas,Midfielder,2565.0,29.0,29.0,2.0,0.0,1595.0,145.0,195.0,37.0,21.0,13.39,59.45,54.84,41.94,Progresor / conector,"Aleix Febas (Elche) aparece como progresor / conector, con índice total 41.94. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,F. Valverde,Midfielder,2296.0,28.0,26.0,4.0,4.0,1577.0,122.0,88.0,22.0,20.0,30.5,54.33,39.24,41.46,Progresor / conector,"F. Valverde (Real Madrid) aparece como progresor / conector, con índice total 41.46. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Girona,D. Blind,Defender,2377.0,28.0,27.0,0.0,0.0,1889.0,130.0,107.0,31.0,36.0,3.13,64.7,57.75,41.06,Progresor / conector,"D. Blind (Girona) aparece como progresor / conector, con índice total 41.06. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Alaves,Antonio Blanco,Midfielder,2411.0,28.0,28.0,1.0,2.0,1519.0,165.0,158.0,45.0,45.0,14.06,42.38,67.71,40.07,Sostén defensivo,"Antonio Blanco (Alaves) aparece como sostén defensivo, con índice total 40.07. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Rayo Vallecano,F. Lejeune,Defender,2691.0,30.0,30.0,0.0,0.0,1763.0,135.0,149.0,31.0,35.0,9.24,47.53,67.12,40.01,Sostén defensivo,"F. Lejeune (Rayo Vallecano) aparece como sostén defensivo, con índice total 40.01. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Celta,Marcos Alonso,Defender,2154.0,25.0,24.0,1.0,0.0,1824.0,119.0,91.0,17.0,25.0,6.3,66.82,46.58,39.56,Progresor / conector,"Marcos Alonso (Celta) aparece como progresor / conector, con índice total 39.56. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,A. Tchouaméni,Midfielder,2240.0,27.0,26.0,1.0,0.0,1610.0,125.0,147.0,36.0,34.0,10.47,52.97,56.42,39.13,Sostén defensivo,"A. Tchouaméni (Real Madrid) aparece como sostén defensivo, con índice total 39.13. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Rayo Vallecano,A. Rațiu,Defender,2313.0,27.0,26.0,0.0,3.0,1092.0,130.0,132.0,30.0,33.0,20.14,43.65,54.12,38.56,Sostén defensivo,"A. Rațiu (Rayo Vallecano) aparece como sostén defensivo, con índice total 38.56. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Betis,Antony,Forward,1938.0,25.0,23.0,7.0,4.0,925.0,101.0,87.0,17.0,19.0,43.26,36.62,32.8,37.8,Amenaza ofensiva,"Antony (Betis) aparece como amenaza ofensiva, con índice total 37.80. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Elche,D. Affengruber,Defender,2265.0,28.0,25.0,0.0,0.0,1552.0,121.0,137.0,40.0,40.0,2.99,47.26,66.3,37.48,Sostén defensivo,"D. Affengruber (Elche) aparece como sostén defensivo, con índice total 37.48. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,Álvaro Carreras,Defender,2064.0,25.0,23.0,2.0,1.0,1498.0,138.0,105.0,17.0,35.0,12.96,51.75,48.1,37.08,Progresor / conector,"Álvaro Carreras (Real Madrid) aparece como progresor / conector, con índice total 37.08. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Alaves,Jonny,Defender,2548.0,29.0,29.0,0.0,0.0,1498.0,134.0,133.0,36.0,35.0,5.34,50.18,56.72,36.45,Sostén defensivo,"Jonny (Alaves) aparece como sostén defensivo, con índice total 36.45. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Elche,Germán Valera,Forward,2318.0,29.0,27.0,4.0,4.0,968.0,106.0,144.0,33.0,15.0,30.38,35.59,44.01,36.3,Sostén defensivo,"Germán Valera (Elche) aparece como sostén defensivo, con índice total 36.30. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,Dani Olmo,Midfielder,1605.0,25.0,18.0,7.0,5.0,976.0,84.0,89.0,19.0,13.0,41.85,36.21,29.75,36.25,Amenaza ofensiva,"Dani Olmo (Barcelona) aparece como amenaza ofensiva, con índice total 36.25. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Espanyol,Carlos Romero,Defender,2490.0,28.0,28.0,5.0,2.0,785.0,139.0,136.0,48.0,31.0,21.35,29.57,60.05,35.84,Sostén defensivo,"Carlos Romero (Espanyol) aparece como sostén defensivo, con índice total 35.84. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,J. Koundé,Defender,1931.0,26.0,20.0,1.0,3.0,1619.0,73.0,118.0,22.0,25.0,18.41,48.76,40.23,35.58,Progresor / conector,"J. Koundé (Barcelona) aparece como progresor / conector, con índice total 35.58. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Espanyol,Edu Expósito,Midfielder,1909.0,28.0,24.0,1.0,5.0,787.0,85.0,108.0,22.0,17.0,32.07,39.51,34.78,35.48,Progresor / conector,"Edu Expósito (Espanyol) aparece como progresor / conector, con índice total 35.48. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,Pau Cubarsí,Defender,2196.0,25.0,25.0,1.0,0.0,2205.0,86.0,91.0,20.0,27.0,3.71,60.7,43.1,35.47,Progresor / conector,"Pau Cubarsí (Barcelona) aparece como progresor / conector, con índice total 35.47. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real sociedad,Mikel Oyarzabal,Forward,2274.0,27.0,26.0,12.0,3.0,611.0,76.0,117.0,13.0,3.0,50.13,28.07,25.44,35.0,Amenaza ofensiva,"Mikel Oyarzabal (Real sociedad) aparece como amenaza ofensiva, con índice total 35.00. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real sociedad,Sergio Gómez,Forward,2155.0,28.0,24.0,0.0,1.0,1236.0,121.0,113.0,45.0,25.0,11.15,44.03,52.25,34.99,Sostén defensivo,"Sergio Gómez (Real sociedad) aparece como sostén defensivo, con índice total 34.99. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Athletic Club,Mikel Jauregizar,Midfielder,2345.0,29.0,28.0,2.0,0.0,1104.0,140.0,129.0,38.0,41.0,11.34,37.87,57.74,34.55,Sostén defensivo,"Mikel Jauregizar (Athletic Club) aparece como sostén defensivo, con índice total 34.55. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Villareal,N. Pépé,Forward,1940.0,29.0,21.0,5.0,4.0,692.0,89.0,121.0,17.0,12.0,40.49,30.32,32.43,34.51,Amenaza ofensiva,"N. Pépé (Villareal) aparece como amenaza ofensiva, con índice total 34.51. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real sociedad,J. Aramburu,Defender,2301.0,28.0,26.0,1.0,0.0,1071.0,97.0,175.0,52.0,39.0,6.76,34.21,66.76,34.37,Sostén defensivo,"J. Aramburu (Real sociedad) aparece como sostén defensivo, con índice total 34.37. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Rayo Vallecano,Pep Chavarría,Defender,2195.0,26.0,24.0,1.0,2.0,1064.0,116.0,111.0,26.0,27.0,12.85,43.6,47.0,33.86,Sostén defensivo,"Pep Chavarría (Rayo Vallecano) aparece como sostén defensivo, con índice total 33.86. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Villareal,Santi Comesaña,Midfielder,1984.0,28.0,23.0,3.0,4.0,975.0,110.0,105.0,19.0,22.0,23.99,38.63,39.58,33.79,Sostén defensivo,"Santi Comesaña (Villareal) aparece como sostén defensivo, con índice total 33.79. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Atletico Madrid,Koke,Midfielder,1771.0,28.0,19.0,2.0,1.0,1561.0,105.0,72.0,20.0,16.0,13.66,53.55,31.91,33.09,Progresor / conector,"Koke (Atletico Madrid) aparece como progresor / conector, con índice total 33.09. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,F. de Jong,Midfielder,1496.0,19.0,16.0,1.0,4.0,1388.0,81.0,76.0,15.0,17.0,19.93,50.31,28.16,33.03,Progresor / conector,"F. de Jong (Barcelona) aparece como progresor / conector, con índice total 33.03. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,Juan Iglesias,Defender,2473.0,29.0,28.0,1.0,2.0,684.0,88.0,195.0,58.0,18.0,11.88,28.36,62.85,32.94,Sostén defensivo,"Juan Iglesias (Getafe) aparece como sostén defensivo, con índice total 32.94. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,M. Arambarri,Midfielder,2634.0,30.0,30.0,6.0,1.0,633.0,123.0,181.0,39.0,21.0,24.5,23.46,53.29,32.77,Sostén defensivo,"M. Arambarri (Getafe) aparece como sostén defensivo, con índice total 32.77. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Atletico Madrid,G. Simeone,Forward,1919.0,27.0,22.0,4.0,5.0,861.0,99.0,129.0,22.0,17.0,34.81,27.06,37.06,32.77,Sostén defensivo,"G. Simeone (Atletico Madrid) aparece como sostén defensivo, con índice total 32.77. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Athletic Club,Yuri,Defender,2205.0,26.0,25.0,0.0,1.0,1167.0,116.0,119.0,21.0,30.0,10.45,40.43,49.45,32.64,Sostén defensivo,"Yuri (Athletic Club) aparece como sostén defensivo, con índice total 32.64. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,José Ángel Carmona,Defender,2045.0,28.0,23.0,1.0,3.0,954.0,114.0,145.0,35.0,32.0,13.8,31.28,55.31,32.37,Sostén defensivo,"José Ángel Carmona (Sevilla) aparece como sostén defensivo, con índice total 32.37. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Osasuna,Alejandro Catena,Defender,2443.0,28.0,28.0,2.0,1.0,1336.0,90.0,112.0,24.0,30.0,10.01,35.32,54.02,32.07,Sostén defensivo,"Alejandro Catena (Osasuna) aparece como sostén defensivo, con índice total 32.07. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Atletico Madrid,Marcos Llorente,Midfielder,1862.0,25.0,21.0,0.0,4.0,1237.0,107.0,78.0,31.0,9.0,18.66,42.13,35.26,31.86,Progresor / conector,"Marcos Llorente (Atletico Madrid) aparece como progresor / conector, con índice total 31.86. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Mallorca,V. Muriqi,Forward,2414.0,29.0,28.0,19.0,0.0,535.0,62.0,188.0,4.0,2.0,49.96,14.86,29.58,31.56,Amenaza ofensiva,"V. Muriqi (Mallorca) aparece como amenaza ofensiva, con índice total 31.56. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Villareal,S. Mouriño,Defender,1946.0,23.0,22.0,1.0,0.0,1000.0,120.0,153.0,53.0,25.0,4.72,31.13,62.98,31.44,Sostén defensivo,"S. Mouriño (Villareal) aparece como sostén defensivo, con índice total 31.44. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,L. Agoumé,Midfielder,2063.0,26.0,24.0,1.0,1.0,1048.0,100.0,109.0,29.0,34.0,10.83,38.53,46.81,31.32,Sostén defensivo,"L. Agoumé (Sevilla) aparece como sostén defensivo, con índice total 31.32. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Levante,Adrián de la Fuente,Defender,2094.0,26.0,23.0,2.0,1.0,1110.0,68.0,81.0,15.0,38.0,10.46,38.6,46.77,31.2,Sostén defensivo,"Adrián de la Fuente (Levante) aparece como sostén defensivo, con índice total 31.20. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Girona,Vitor Reis,Defender,2418.0,28.0,27.0,1.0,0.0,1466.0,80.0,128.0,24.0,20.0,5.04,41.08,50.14,31.18,Sostén defensivo,"Vitor Reis (Girona) aparece como sostén defensivo, con índice total 31.18. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,Fermín López,Midfielder,1363.0,24.0,14.0,5.0,5.0,705.0,67.0,88.0,15.0,6.0,34.65,34.76,22.54,31.05,Progresor / conector,"Fermín López (Barcelona) aparece como progresor / conector, con índice total 31.05. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Espanyol,L. Cabrera,Defender,2610.0,29.0,29.0,3.0,0.0,1221.0,66.0,125.0,18.0,19.0,13.12,36.04,45.86,30.96,Sostén defensivo,"L. Cabrera (Espanyol) aparece como sostén defensivo, con índice total 30.96. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Girona,Arnau Martínez,Defender,2028.0,27.0,25.0,1.0,1.0,1079.0,87.0,113.0,29.0,33.0,9.49,34.61,51.38,30.85,Sostén defensivo,"Arnau Martínez (Girona) aparece como sostén defensivo, con índice total 30.85. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Mallorca,J. Mojica,Defender,2222.0,29.0,24.0,0.0,2.0,994.0,147.0,100.0,25.0,18.0,11.83,37.78,44.83,30.81,Sostén defensivo,"J. Mojica (Mallorca) aparece como sostén defensivo, con índice total 30.81. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,Dean Huijsen,Defender,1648.0,22.0,20.0,2.0,1.0,1327.0,61.0,81.0,14.0,17.0,9.86,48.46,33.51,30.47,Progresor / conector,"Dean Huijsen (Real Madrid) aparece como progresor / conector, con índice total 30.47. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Atletico Madrid,D. Hancko,Defender,2119.0,26.0,23.0,0.0,2.0,1271.0,72.0,91.0,26.0,17.0,12.4,41.81,38.21,30.43,Progresor / conector,"D. Hancko (Atletico Madrid) aparece como progresor / conector, con índice total 30.43. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Mallorca,M. Valjent,Defender,2700.0,30.0,30.0,0.0,0.0,1397.0,71.0,82.0,25.0,17.0,3.81,43.37,45.26,30.09,Sostén defensivo,"M. Valjent (Mallorca) aparece como sostén defensivo, con índice total 30.09. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Athletic Club,Íñigo Ruíz de Galarreta,Midfielder,1772.0,27.0,24.0,1.0,1.0,993.0,147.0,132.0,27.0,14.0,9.45,39.97,42.37,30.01,Sostén defensivo,"Íñigo Ruíz de Galarreta (Athletic Club) aparece como sostén defensivo, con índice total 30.01. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Girona,V. Tsygankov,Forward,1931.0,24.0,23.0,5.0,4.0,753.0,65.0,92.0,17.0,15.0,32.92,27.98,28.96,30.0,Amenaza ofensiva,"V. Tsygankov (Girona) aparece como amenaza ofensiva, con índice total 30.00. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Alaves,N. Tenaglia,Defender,2519.0,28.0,28.0,1.0,0.0,1118.0,83.0,119.0,32.0,33.0,5.61,32.42,55.44,29.94,Sostén defensivo,"N. Tenaglia (Alaves) aparece como sostén defensivo, con índice total 29.94. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Osasuna,Jon Moncayola,Midfielder,2360.0,28.0,27.0,0.0,3.0,1118.0,127.0,74.0,21.0,17.0,16.07,38.34,36.27,29.92,Progresor / conector,"Jon Moncayola (Osasuna) aparece como progresor / conector, con índice total 29.92. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Villareal,P. Gueye,Midfielder,1686.0,24.0,20.0,4.0,1.0,825.0,91.0,109.0,19.0,27.0,17.63,33.33,40.26,29.91,Sostén defensivo,"P. Gueye (Villareal) aparece como sostén defensivo, con índice total 29.91. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Villareal,Alberto Moleiro,Midfielder,1975.0,29.0,25.0,9.0,2.0,595.0,85.0,76.0,15.0,6.0,33.38,31.91,23.47,29.89,Amenaza ofensiva,"Alberto Moleiro (Villareal) aparece como amenaza ofensiva, con índice total 29.89. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,J. Bellingham,Midfielder,1338.0,20.0,15.0,4.0,1.0,847.0,74.0,121.0,30.0,12.0,25.94,29.55,34.78,29.86,Sostén defensivo,"J. Bellingham (Real Madrid) aparece como sostén defensivo, con índice total 29.86. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Athletic Club,Dani Vivian,Defender,2188.0,25.0,24.0,1.0,0.0,1130.0,110.0,90.0,31.0,29.0,5.64,35.27,51.49,29.77,Sostén defensivo,"Dani Vivian (Athletic Club) aparece como sostén defensivo, con índice total 29.77. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Mallorca,Samú Costa,Midfielder,2121.0,27.0,24.0,5.0,0.0,990.0,97.0,177.0,24.0,22.0,15.56,26.99,49.58,29.77,Sostén defensivo,"Samú Costa (Mallorca) aparece como sostén defensivo, con índice total 29.77. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Athletic Club,Alex Berenguer,Forward,1858.0,25.0,22.0,2.0,3.0,665.0,80.0,104.0,12.0,11.0,31.41,29.42,27.28,29.47,Amenaza ofensiva,"Alex Berenguer (Athletic Club) aparece como amenaza ofensiva, con índice total 29.47. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Atletico Madrid,J. Alvarez,Forward,1902.0,29.0,22.0,8.0,1.0,689.0,51.0,70.0,13.0,3.0,37.59,31.29,17.39,29.32,Amenaza ofensiva,"J. Alvarez (Atletico Madrid) aparece como amenaza ofensiva, con índice total 29.32. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Betis,A. Ezzalzouli,Forward,1565.0,21.0,18.0,5.0,3.0,557.0,91.0,144.0,22.0,11.0,29.59,24.14,34.87,29.27,Sostén defensivo,"A. Ezzalzouli (Betis) aparece como sostén defensivo, con índice total 29.27. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Osasuna,Víctor Muñoz,Forward,2309.0,30.0,27.0,5.0,1.0,507.0,78.0,140.0,13.0,8.0,30.61,26.89,29.71,29.04,Amenaza ofensiva,"Víctor Muñoz (Osasuna) aparece como amenaza ofensiva, con índice total 29.04. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Espanyol,O. El Hilali,Defender,2187.0,28.0,25.0,0.0,2.0,1002.0,75.0,102.0,43.0,29.0,8.06,30.93,49.27,28.43,Sostén defensivo,"O. El Hilali (Espanyol) aparece como sostén defensivo, con índice total 28.43. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Celta,Sergio Carreira,Defender,2041.0,26.0,22.0,2.0,1.0,1157.0,85.0,83.0,15.0,19.0,12.63,39.74,33.2,28.29,Progresor / conector,"Sergio Carreira (Celta) aparece como progresor / conector, con índice total 28.29. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Levante,J. Toljan,Defender,2520.0,29.0,29.0,1.0,3.0,853.0,78.0,81.0,33.0,25.0,15.49,27.94,43.43,28.23,Sostén defensivo,"J. Toljan (Levante) aparece como sostén defensivo, con índice total 28.23. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Rayo Vallecano,Isi Palazón,Midfielder,2104.0,29.0,25.0,3.0,3.0,823.0,88.0,117.0,14.0,3.0,26.34,30.98,26.76,28.09,Progresor / conector,"Isi Palazón (Rayo Vallecano) aparece como progresor / conector, con índice total 28.09. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,G. Suazo,Defender,1581.0,22.0,19.0,0.0,1.0,778.0,88.0,99.0,55.0,19.0,11.95,27.47,47.58,28.07,Sostén defensivo,"G. Suazo (Sevilla) aparece como sostén defensivo, con índice total 28.07. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,M. Rashford,Forward,1416.0,25.0,15.0,5.0,6.0,628.0,35.0,56.0,8.0,1.0,44.56,24.76,12.67,28.06,Amenaza ofensiva,"M. Rashford (Barcelona) aparece como amenaza ofensiva, con índice total 28.06. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Atletico Madrid,Pablo Barrios,Midfielder,1580.0,21.0,19.0,1.0,1.0,991.0,108.0,98.0,15.0,23.0,12.59,37.35,35.23,28.05,Progresor / conector,"Pablo Barrios (Atletico Madrid) aparece como progresor / conector, con índice total 28.05. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Celta,Óscar Mingueza,Defender,1659.0,26.0,19.0,1.0,3.0,1033.0,73.0,82.0,16.0,8.0,16.17,41.97,25.42,27.97,Progresor / conector,"Óscar Mingueza (Celta) aparece como progresor / conector, con índice total 27.97. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Levante,Manu Sánchez,Defender,2267.0,26.0,25.0,1.0,1.0,718.0,87.0,113.0,47.0,29.0,9.96,24.21,53.24,27.93,Sostén defensivo,"Manu Sánchez (Levante) aparece como sostén defensivo, con índice total 27.93. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Espanyol,T. Dolan,Forward,1992.0,29.0,23.0,1.0,4.0,484.0,82.0,129.0,31.0,16.0,23.54,22.7,38.13,27.62,Sostén defensivo,"T. Dolan (Espanyol) aparece como sostén defensivo, con índice total 27.62. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Betis,Marc Bartra,Defender,1856.0,23.0,19.0,1.0,0.0,1098.0,77.0,100.0,20.0,26.0,5.05,33.34,46.81,27.48,Sostén defensivo,"Marc Bartra (Betis) aparece como sostén defensivo, con índice total 27.48. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Mallorca,Sergi Darder,Midfielder,2013.0,30.0,22.0,1.0,3.0,804.0,86.0,80.0,9.0,19.0,22.8,31.9,27.73,27.46,Progresor / conector,"Sergi Darder (Mallorca) aparece como progresor / conector, con índice total 27.46. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,Kike Salas,Defender,1483.0,18.0,16.0,1.0,0.0,1031.0,77.0,124.0,21.0,30.0,5.95,30.49,48.73,27.37,Sostén defensivo,"Kike Salas (Sevilla) aparece como sostén defensivo, con índice total 27.37. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Valencia,Pepelu,Midfielder,1710.0,23.0,20.0,2.0,0.0,1116.0,107.0,92.0,27.0,17.0,9.21,35.43,39.09,27.35,Sostén defensivo,"Pepelu (Valencia) aparece como sostén defensivo, con índice total 27.35. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,Raphinha,Forward,1299.0,20.0,17.0,11.0,3.0,593.0,44.0,44.0,5.0,4.0,42.75,24.69,12.46,27.34,Amenaza ofensiva,"Raphinha (Barcelona) aparece como amenaza ofensiva, con índice total 27.34. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Alaves,Toni Martínez,Forward,2045.0,29.0,24.0,8.0,2.0,503.0,67.0,203.0,13.0,4.0,34.04,14.67,33.92,27.22,Amenaza ofensiva,"Toni Martínez (Alaves) aparece como amenaza ofensiva, con índice total 27.22. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real sociedad,Carlos Soler,Midfielder,1701.0,25.0,19.0,4.0,3.0,845.0,68.0,61.0,15.0,10.0,27.84,30.02,23.2,27.21,Progresor / conector,"Carlos Soler (Real sociedad) aparece como progresor / conector, con índice total 27.21. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real sociedad,Jon Gorrotxategi,Midfielder,1912.0,25.0,22.0,1.0,1.0,1127.0,115.0,92.0,25.0,32.0,7.16,31.78,44.65,27.02,Sostén defensivo,"Jon Gorrotxategi (Real sociedad) aparece como sostén defensivo, con índice total 27.02. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Alaves,Pablo Ibáñez,Midfielder,1831.0,29.0,23.0,1.0,1.0,843.0,102.0,146.0,26.0,16.0,14.16,27.4,41.0,26.85,Sostén defensivo,"Pablo Ibáñez (Alaves) aparece como sostén defensivo, con índice total 26.85. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Levante,Carlos Álvarez,Midfielder,1795.0,26.0,22.0,3.0,1.0,615.0,86.0,88.0,11.0,13.0,20.61,33.76,25.95,26.81,Progresor / conector,"Carlos Álvarez (Levante) aparece como progresor / conector, con índice total 26.81. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Girona,Iván Martín,Midfielder,2014.0,28.0,23.0,0.0,1.0,1120.0,122.0,120.0,33.0,12.0,8.58,33.07,40.6,26.76,Sostén defensivo,"Iván Martín (Girona) aparece como sostén defensivo, con índice total 26.76. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real sociedad,Ander Barrenetxea,Forward,1428.0,24.0,17.0,3.0,3.0,573.0,85.0,89.0,11.0,13.0,27.76,26.04,26.28,26.71,Perfil equilibrado,"Ander Barrenetxea (Real sociedad) aparece como perfil equilibrado, con índice total 26.71. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Rayo Vallecano,Álvaro García,Midfielder,1983.0,30.0,21.0,4.0,5.0,499.0,73.0,55.0,15.0,13.0,38.31,16.58,24.72,26.63,Amenaza ofensiva,"Álvaro García (Rayo Vallecano) aparece como amenaza ofensiva, con índice total 26.63. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Oviedo,F. Viñas,Forward,1854.0,26.0,21.0,7.0,1.0,391.0,69.0,206.0,27.0,11.0,28.54,11.96,41.44,26.61,Sostén defensivo,"F. Viñas (Oviedo) aparece como sostén defensivo, con índice total 26.61. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real sociedad,Gonçalo Guedes,Forward,1776.0,30.0,22.0,8.0,4.0,548.0,53.0,85.0,15.0,3.0,35.2,23.06,19.76,26.32,Amenaza ofensiva,"Gonçalo Guedes (Real sociedad) aparece como amenaza ofensiva, con índice total 26.32. Su perfil permite valorar impacto individual dentro del modelo colectivo."
