equipo,jugador,position,minutos,partidos,titularidades,goles,asistencias,pases_totales,recuperaciones,duelos_ganados,entradas_ganadas,intercepciones,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,rol_tactico,lectura_dashboard
Alaves,Víctor Parada,Defender,1507.0,22.0,17.0,0.0,2.0,568.0,48.0,66.0,7.0,6.0,8.5,16.35,19.62,14.58,Rotación / impacto bajo,"Víctor Parada (Alaves) aparece como rotación / impacto bajo, con índice total 14.58. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,A. Sánchez,Forward,1058.0,21.0,10.0,3.0,1.0,369.0,52.0,53.0,9.0,4.0,16.45,12.52,14.76,14.57,Rotación / impacto bajo,"A. Sánchez (Sevilla) aparece como rotación / impacto bajo, con índice total 14.57. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Valencia,E. Cömert,Defender,1014.0,13.0,11.0,2.0,0.0,608.0,34.0,46.0,14.0,16.0,5.16,15.18,24.46,14.46,Rotación / impacto bajo,"E. Cömert (Valencia) aparece como rotación / impacto bajo, con índice total 14.46. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Celta,W. Swedberg,Midfielder,922.0,22.0,9.0,4.0,3.0,214.0,23.0,58.0,12.0,2.0,20.59,9.47,12.98,14.42,Rotación / impacto bajo,"W. Swedberg (Celta) aparece como rotación / impacto bajo, con índice total 14.42. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Villareal,Luíz Júnior,Goalkeeper,2430.0,27.0,27.0,0.0,0.0,592.0,233.0,10.0,0.0,1.0,0.0,18.34,26.47,14.36,Rotación / impacto bajo,"Luíz Júnior (Villareal) aparece como rotación / impacto bajo, con índice total 14.36. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Osasuna,Jorge Herrando,Defender,1401.0,25.0,14.0,0.0,1.0,565.0,33.0,63.0,13.0,15.0,3.14,14.09,27.68,14.34,Rotación / impacto bajo,"Jorge Herrando (Osasuna) aparece como rotación / impacto bajo, con índice total 14.34. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Alaves,Y. Enríquez,Defender,1198.0,22.0,12.0,0.0,1.0,512.0,60.0,49.0,9.0,10.0,6.94,16.44,20.24,14.26,Rotación / impacto bajo,"Y. Enríquez (Alaves) aparece como rotación / impacto bajo, con índice total 14.26. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Sevilla,Peque Fernández,Forward,871.0,21.0,11.0,2.0,1.0,330.0,34.0,82.0,6.0,1.0,12.13,16.89,13.49,14.2,Rotación / impacto bajo,"Peque Fernández (Sevilla) aparece como rotación / impacto bajo, con índice total 14.20. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real sociedad,Beñat Turrientes,Midfielder,936.0,20.0,11.0,0.0,1.0,465.0,59.0,70.0,20.0,6.0,6.64,13.84,23.05,14.08,Rotación / impacto bajo,"Beñat Turrientes (Real sociedad) aparece como rotación / impacto bajo, con índice total 14.08. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,T. Courtois,Goalkeeper,2520.0,28.0,28.0,0.0,0.0,838.0,196.0,8.0,1.0,0.0,0.22,23.02,19.78,14.07,Rotación / impacto bajo,"T. Courtois (Real Madrid) aparece como rotación / impacto bajo, con índice total 14.07. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Valencia,F. Ugrinic,Midfielder,1061.0,19.0,12.0,0.0,3.0,488.0,49.0,50.0,9.0,7.0,11.65,13.85,16.99,14.02,Rotación / impacto bajo,"F. Ugrinic (Valencia) aparece como rotación / impacto bajo, con índice total 14.02. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,R. Araujo,Defender,861.0,19.0,9.0,3.0,0.0,660.0,41.0,42.0,7.0,9.0,7.16,18.78,16.36,13.99,Rotación / impacto bajo,"R. Araujo (Barcelona) aparece como rotación / impacto bajo, con índice total 13.99. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,T. Alexander-Arnold,Defender,753.0,15.0,9.0,0.0,2.0,549.0,28.0,15.0,6.0,12.0,9.1,20.73,11.63,13.93,Rotación / impacto bajo,"T. Alexander-Arnold (Real Madrid) aparece como rotación / impacto bajo, con índice total 13.93. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Girona,T. Lemar,Midfielder,999.0,20.0,11.0,2.0,0.0,517.0,49.0,49.0,10.0,3.0,9.76,17.68,13.94,13.79,Rotación / impacto bajo,"T. Lemar (Girona) aparece como rotación / impacto bajo, con índice total 13.79. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,A. Rüdiger,Defender,1086.0,13.0,12.0,1.0,0.0,884.0,51.0,38.0,5.0,3.0,3.07,24.09,14.23,13.78,Rotación / impacto bajo,"A. Rüdiger (Real Madrid) aparece como rotación / impacto bajo, con índice total 13.78. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Valencia,Diego López,Forward,1330.0,26.0,15.0,3.0,0.0,365.0,51.0,67.0,9.0,8.0,11.01,12.08,18.27,13.56,Rotación / impacto bajo,"Diego López (Valencia) aparece como rotación / impacto bajo, con índice total 13.56. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,Adrián Liso,Forward,1509.0,24.0,18.0,3.0,0.0,249.0,51.0,104.0,16.0,4.0,11.25,8.33,22.11,13.48,Rotación / impacto bajo,"Adrián Liso (Getafe) aparece como rotación / impacto bajo, con índice total 13.48. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,M. Satriano,Forward,974.0,11.0,11.0,4.0,0.0,223.0,40.0,78.0,12.0,7.0,13.2,8.29,19.57,13.39,Rotación / impacto bajo,"M. Satriano (Getafe) aparece como rotación / impacto bajo, con índice total 13.39. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,F. Mastantuono,Forward,786.0,17.0,9.0,1.0,0.0,378.0,33.0,61.0,12.0,2.0,8.35,17.74,13.83,13.28,Rotación / impacto bajo,"F. Mastantuono (Real Madrid) aparece como rotación / impacto bajo, con índice total 13.28. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Villareal,J. Foyth,Defender,936.0,13.0,12.0,0.0,0.0,565.0,46.0,33.0,13.0,16.0,0.12,17.81,23.29,13.26,Rotación / impacto bajo,"J. Foyth (Villareal) aparece como rotación / impacto bajo, con índice total 13.26. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Alaves,A. Rebbach,Forward,908.0,23.0,8.0,1.0,0.0,294.0,53.0,61.0,10.0,8.0,11.04,11.09,18.3,13.23,Rotación / impacto bajo,"A. Rebbach (Alaves) aparece como rotación / impacto bajo, con índice total 13.23. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Espanyol,C. Riedel,Defender,1205.0,17.0,14.0,0.0,0.0,668.0,49.0,60.0,12.0,10.0,1.11,15.07,24.96,13.15,Rotación / impacto bajo,"C. Riedel (Espanyol) aparece como rotación / impacto bajo, con índice total 13.15. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Osasuna,Raúl García,Forward,779.0,28.0,5.0,5.0,0.0,181.0,21.0,68.0,12.0,7.0,17.75,5.68,16.3,13.09,Rotación / impacto bajo,"Raúl García (Osasuna) aparece como rotación / impacto bajo, con índice total 13.09. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,Brahim Díaz,Midfielder,752.0,22.0,7.0,0.0,3.0,332.0,35.0,47.0,7.0,1.0,13.31,14.56,10.67,12.95,Rotación / impacto bajo,"Brahim Díaz (Real Madrid) aparece como rotación / impacto bajo, con índice total 12.95. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,Joan García,Goalkeeper,2160.0,24.0,24.0,0.0,0.0,686.0,230.0,16.0,3.0,2.0,0.0,14.18,26.57,12.94,Rotación / impacto bajo,"Joan García (Barcelona) aparece como rotación / impacto bajo, con índice total 12.94. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Elche,Adrià Pedrosa,Defender,867.0,21.0,6.0,1.0,0.0,359.0,33.0,50.0,14.0,10.0,8.32,11.93,19.44,12.92,Rotación / impacto bajo,"Adrià Pedrosa (Elche) aparece como rotación / impacto bajo, con índice total 12.92. Su perfil permite valorar impacto individual dentro del modelo colectivo."
