jugador,position,minutos,goles,asistencias,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,rol_tactico
Mikel Oyarzabal,Forward,2274.0,12.0,3.0,50.13,28.07,25.44,35.0,Finalizador / generador ofensivo
Sergio Gómez,Forward,2155.0,0.0,1.0,11.15,44.03,52.25,34.99,Sostén defensivo
J. Aramburu,Defender,2301.0,1.0,0.0,6.76,34.21,66.76,34.37,Sostén defensivo
Carlos Soler,Midfielder,1701.0,4.0,3.0,27.84,30.02,23.2,27.21,Progresor / conector del juego
Jon Gorrotxategi,Midfielder,1912.0,1.0,1.0,7.16,31.78,44.65,27.02,Sostén defensivo
Ander Barrenetxea,Forward,1428.0,3.0,3.0,27.76,26.04,26.28,26.71,Finalizador / generador ofensivo
Gonçalo Guedes,Forward,1776.0,8.0,4.0,35.2,23.06,19.76,26.32,Finalizador / generador ofensivo
Brais Méndez,Midfielder,1505.0,6.0,1.0,23.49,27.94,24.76,25.43,Progresor / conector del juego
