jugador,position,minutos,goles,asistencias,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,rol_tactico
Mikel Oyarzabal,Forward,2274.0,12.0,3.0,50.13,28.07,25.44,35.0,Finalizador / generador ofensivo
Gonçalo Guedes,Forward,1776.0,8.0,4.0,35.2,23.06,19.76,26.32,Finalizador / generador ofensivo
Carlos Soler,Midfielder,1701.0,4.0,3.0,27.84,30.02,23.2,27.21,Progresor / conector del juego
Ander Barrenetxea,Forward,1428.0,3.0,3.0,27.76,26.04,26.28,26.71,Finalizador / generador ofensivo
T. Kubo,Forward,1183.0,2.0,3.0,23.5,17.95,22.19,21.16,Perfil complementario
Brais Méndez,Midfielder,1505.0,6.0,1.0,23.49,27.94,24.76,25.43,Progresor / conector del juego
U. Sadiq,Forward,666.0,1.0,2.0,11.68,6.33,7.44,8.54,Perfil complementario
Sergio Gómez,Forward,2155.0,0.0,1.0,11.15,44.03,52.25,34.99,Sostén defensivo
