jugador,position,minutos,goles,asistencias,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,rol_tactico
Sergio Gómez,Forward,2155.0,0.0,1.0,11.15,44.03,52.25,34.99,Sostén defensivo
Álex Remiro,Goalkeeper,2700.0,0.0,0.0,0.67,40.18,25.53,21.96,Progresor / conector del juego
J. Aramburu,Defender,2301.0,1.0,0.0,6.76,34.21,66.76,34.37,Sostén defensivo
Jon Gorrotxategi,Midfielder,1912.0,1.0,1.0,7.16,31.78,44.65,27.02,Sostén defensivo
Carlos Soler,Midfielder,1701.0,4.0,3.0,27.84,30.02,23.2,27.21,Progresor / conector del juego
Igor Zubeldia,Defender,1899.0,0.0,1.0,4.54,29.23,39.18,23.57,Sostén defensivo
Jon Pacheco,Defender,1725.0,0.0,0.0,2.32,28.52,32.79,20.63,Sostén defensivo
Mikel Oyarzabal,Forward,2274.0,12.0,3.0,50.13,28.07,25.44,35.0,Finalizador / generador ofensivo
