equipo,position,id,shirtNumber,firstName,lastName,matchName,knownName,Aerial Duels,Aerial Duels won,Appearances,Backward Passes,Carries,Duels,Duels lost,Duels won,Forward Passes,Games Played,Ground Duels,Ground Duels lost,Leftside Passes,Open Play Passes,Substitute On,Successful Open Play Passes,Successful Passes Own Half,Successful Short Passes,Time Played,Times Tackled,Total Fouls Conceded,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Aerial Duels lost,Blocked Shots,Blocks,Clean Sheets,Clearances Off the Line,Corners Won,Final Third Touches,Foul Attempted Tackle,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels won,Headed Goals,Interceptions,Key Passes (Attempt Assists),Last Player Tackle,Offsides,Overruns,Penalties Conceded,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Launches,Successful Long Passes,Successful Passes Opposition Half,Tackles Lost,Tackles Won,Through balls,Throw Ins to Opposition Player,Throw Ins to Own Player,Total Big Chances Missed,Total Big Chances Scored,Total Clearances,Total Fouls Won,Total Shots,Total Tackles,Total Touches In Opposition Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Yellow Cards,Home Goals,Away Goals,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Direct Setpiece Goals,Goal Assists,Goals Openplay,Goals from Outside Box,Handballs conceded,Right Foot Goals,Set Pieces Goals,Successful Corners into Box,Successful Lay-offs,Total Big Chances Created,Unsuccessful Corners into Box,Unsuccessful lay-offs,GK Successful Distribution,Goal Kicks,Straight Red Cards,Total Big Chances Saved,Total Red Cards,Hit Woodwork,Left Foot Goals,Foul Won Penalty,Second Goal Assists,Penalties Taken,Penalty Goals,Red Cards - 2nd Yellow,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Own Goal Scored,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried
Real Sociedad,Goalkeeper,b3y6i7qt9vimy3ugvtl6wtu6s,41,Theo Mickael Kevin,Folgado,Theo Folgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Goalkeeper,29cp6coiba854vwntnzj5x1ck,32,Aitor,Fraga Torres,Aitor Fraga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Forward,7pmigpf4yfi6dfih8e1ogdwb9,11,Gonçalo Manuel,Ganchinho Guedes,Gonçalo Guedes,Gonçalo Guedes,29.0,10.0,30.0,143.0,206.0,189.0,104.0,85.0,160.0,30.0,160.0,85.0,114.0,545.0,8.0,409.0,112.0,387.0,1776.0,44.0,18.0,288.0,548.0,412.0,136.0,914.0,159.0,28.0,118.0,3.0,19.0,16.0,,1.0,,23.0,479.0,9.0,8.0,23.0,20.0,3.0,6.0,75.0,,3.0,20.0,,13.0,4.0,,2.0,115.0,47.0,15.0,53.0,131.0,23.0,10.0,18.0,22.0,17.0,16.0,15.0,18.0,1.0,25.0,316.0,9.0,15.0,3.0,1.0,10.0,3.0,5.0,6.0,33.0,28.0,24.0,61.0,51.0,50.0,21.0,5.0,18.0,2.0,6.0,2.0,4.0,,2.0,,4.0,7.0,2.0,2.0,6.0,,,16.0,6.0,,2.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,
Real Sociedad,Midfielder,706la37b8u3v3n6mqtbjs73mc,4,Jon,Gorrotxategi Etxaniz,Jon Gorrotxategi,,56.0,25.0,25.0,160.0,277.0,192.0,100.0,92.0,306.0,25.0,136.0,69.0,334.0,1103.0,3.0,956.0,495.0,943.0,1912.0,19.0,26.0,197.0,1127.0,976.0,151.0,1395.0,109.0,46.0,123.0,1.0,31.0,5.0,9.0,1.0,,4.0,200.0,12.0,1.0,34.0,31.0,3.0,1.0,67.0,,32.0,12.0,,,,,4.0,120.0,34.0,18.0,115.0,327.0,15.0,5.0,1.0,22.0,8.0,,,8.0,5.0,33.0,481.0,14.0,25.0,2.0,,1.0,,1.0,36.0,20.0,6.0,39.0,5.0,4.0,4.0,4.0,13.0,28.0,6.0,1.0,0.0,1.0,,,,3.0,,,,1.0,,,18.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Midfielder,dci5jbkxxr0wddazufgbysxec,22,Mikel,Goti López,Mikel Goti,,11.0,3.0,4.0,3.0,9.0,21.0,16.0,5.0,13.0,4.0,10.0,8.0,6.0,29.0,3.0,14.0,2.0,13.0,74.0,3.0,6.0,24.0,29.0,14.0,15.0,53.0,11.0,7.0,11.0,0.0,8.0,2.0,1.0,,,2.0,26.0,4.0,,3.0,2.0,1.0,,2.0,,,,,,1.0,,,6.0,6.0,2.0,3.0,7.0,,1.0,,1.0,1.0,,,2.0,,1.0,12.0,,,2.0,,,1.0,,1.0,,1.0,,4.0,3.0,3.0,1.0,2.0,4.0,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Forward,d4tdx2ctadv6kc3tbq4as8bmx,17,Sergio,Gómez Martín,Sergio Gómez,,25.0,15.0,28.0,216.0,239.0,210.0,97.0,113.0,486.0,28.0,185.0,87.0,84.0,1183.0,4.0,1018.0,481.0,1019.0,2155.0,12.0,38.0,356.0,1236.0,1064.0,172.0,1854.0,223.0,47.0,118.0,0.0,10.0,2.0,5.0,2.0,,22.0,479.0,25.0,,34.0,31.0,3.0,,98.0,,25.0,32.0,,4.0,,,3.0,138.0,58.0,22.0,121.0,450.0,34.0,7.0,,24.0,7.0,30.0,18.0,10.0,10.0,45.0,613.0,32.0,45.0,4.0,42.0,155.0,2.0,,52.0,12.0,7.0,77.0,25.0,98.0,57.0,8.0,30.0,54.0,2.0,,,1.0,,44.0,,2.0,,,1.0,,,7.0,2.0,10.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Midfielder,c320492cbp1otejfp1i1oane1,12,Yangel Clemente,Herrera Ravelo,Y. Herrera,,31.0,19.0,10.0,22.0,45.0,80.0,37.0,43.0,50.0,10.0,49.0,25.0,61.0,171.0,4.0,131.0,63.0,125.0,417.0,9.0,11.0,61.0,175.0,134.0,41.0,265.0,32.0,10.0,35.0,0.0,12.0,2.0,2.0,,,2.0,47.0,7.0,,19.0,18.0,1.0,,24.0,,2.0,,,1.0,1.0,,3.0,18.0,10.0,7.0,15.0,42.0,,3.0,1.0,6.0,6.0,1.0,1.0,3.0,,9.0,72.0,3.0,4.0,,,1.0,1.0,,16.0,14.0,4.0,7.0,8.0,1.0,1.0,3.0,2.0,6.0,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Real Sociedad,Forward,dqiuqhsqsayvldfazfnp8d46i,19,Jon,Karrikaburu Jaimerena,Jon Karrikaburu,,13.0,4.0,6.0,4.0,8.0,21.0,14.0,7.0,5.0,6.0,8.0,5.0,5.0,17.0,6.0,10.0,4.0,10.0,127.0,1.0,3.0,18.0,17.0,10.0,7.0,45.0,7.0,1.0,7.0,0.0,9.0,2.0,,,,2.0,23.0,2.0,,3.0,3.0,,,3.0,,,1.0,,2.0,,,,4.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,,,,,,,,6.0,,1.0,,,,2.0,,,4.0,4.0,1.0,13.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Defender,4funfkj5murbekemu7ffzu5g4,45,Kazunari,Kita,K. Kita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Forward,1qkep5ck252k1g3oqza5ygh61,14,Takefusa,Kubo,T. Kubo,,14.0,5.0,18.0,98.0,217.0,156.0,62.0,94.0,83.0,18.0,142.0,53.0,178.0,368.0,5.0,291.0,77.0,294.0,1183.0,37.0,6.0,188.0,376.0,299.0,77.0,674.0,85.0,16.0,71.0,0.0,9.0,7.0,,,,18.0,350.0,5.0,2.0,17.0,16.0,1.0,1.0,89.0,1.0,7.0,23.0,,11.0,7.0,,2.0,124.0,28.0,11.0,44.0,17.0,26.0,6.0,12.0,13.0,10.0,8.0,2.0,27.0,,5.0,230.0,9.0,16.0,3.0,,,2.0,1.0,9.0,37.0,18.0,25.0,64.0,24.0,17.0,26.0,4.0,6.0,,0.0,2.0,3.0,1.0,15.0,,3.0,2.0,1.0,,,,5.0,4.0,5.0,6.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,
