equipo,position,id,shirtNumber,firstName,lastName,matchName,knownName,Aerial Duels,Aerial Duels won,Appearances,Backward Passes,Carries,Duels,Duels lost,Duels won,Forward Passes,Games Played,Ground Duels,Ground Duels lost,Leftside Passes,Open Play Passes,Substitute On,Successful Open Play Passes,Successful Passes Own Half,Successful Short Passes,Time Played,Times Tackled,Total Fouls Conceded,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Aerial Duels lost,Blocked Shots,Blocks,Clean Sheets,Clearances Off the Line,Corners Won,Final Third Touches,Foul Attempted Tackle,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels won,Headed Goals,Interceptions,Key Passes (Attempt Assists),Last Player Tackle,Offsides,Overruns,Penalties Conceded,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Launches,Successful Long Passes,Successful Passes Opposition Half,Tackles Lost,Tackles Won,Through balls,Throw Ins to Opposition Player,Throw Ins to Own Player,Total Big Chances Missed,Total Big Chances Scored,Total Clearances,Total Fouls Won,Total Shots,Total Tackles,Total Touches In Opposition Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Yellow Cards,Home Goals,Away Goals,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Direct Setpiece Goals,Goal Assists,Goals Openplay,Goals from Outside Box,Handballs conceded,Right Foot Goals,Set Pieces Goals,Successful Corners into Box,Successful Lay-offs,Total Big Chances Created,Unsuccessful Corners into Box,Unsuccessful lay-offs,GK Successful Distribution,Goal Kicks,Straight Red Cards,Total Big Chances Saved,Total Red Cards,Hit Woodwork,Left Foot Goals,Foul Won Penalty,Second Goal Assists,Penalties Taken,Penalty Goals,Red Cards - 2nd Yellow,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Own Goal Scored,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried
Real Sociedad,Forward,b45ryclny991bm7qosieyg1cl,10,Mikel,Oyarzabal Ugarte,Mikel Oyarzabal,,99.0,32.0,27.0,171.0,198.0,276.0,159.0,117.0,162.0,27.0,177.0,92.0,145.0,586.0,1.0,440.0,175.0,450.0,2274.0,61.0,18.0,298.0,611.0,465.0,146.0,1028.0,130.0,30.0,134.0,4.0,67.0,16.0,3.0,2.0,,32.0,479.0,4.0,12.0,36.0,34.0,2.0,8.0,85.0,,3.0,34.0,,12.0,4.0,,3.0,110.0,55.0,19.0,76.0,133.0,36.0,24.0,31.0,26.0,9.0,2.0,1.0,29.0,,15.0,292.0,7.0,13.0,11.0,1.0,2.0,15.0,8.0,22.0,37.0,55.0,20.0,133.0,14.0,14.0,21.0,5.0,12.0,2.0,9.0,3.0,3.0,2.0,1.0,,3.0,7.0,4.0,2.0,2.0,,1.0,43.0,12.0,,5.0,,,,,,1.0,10.0,,,5.0,5.0,,,,,,,,,,,,
Real Sociedad,Defender,7bs0ph4yksf6lvkg91u9nqzqi,20,Jon,Pacheco Dozagarat,Jon Pacheco,,66.0,41.0,21.0,79.0,214.0,139.0,54.0,85.0,323.0,21.0,73.0,29.0,197.0,900.0,1.0,781.0,518.0,747.0,1725.0,4.0,14.0,146.0,936.0,810.0,126.0,1179.0,95.0,34.0,56.0,0.0,25.0,,21.0,2.0,1.0,2.0,45.0,4.0,,29.0,27.0,2.0,,44.0,,11.0,5.0,1.0,1.0,,2.0,3.0,125.0,16.0,8.0,70.0,337.0,5.0,3.0,1.0,20.0,2.0,1.0,1.0,2.0,15.0,63.0,293.0,20.0,16.0,1.0,,2.0,,,101.0,7.0,4.0,36.0,14.0,3.0,3.0,1.0,29.0,70.0,4.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,
Real Sociedad,Goalkeeper,w503zyr8ipyobglth281uklx,1,Alejandro,Remiro Gargallo,Álex Remiro,,7.0,7.0,30.0,,174.0,15.0,2.0,13.0,671.0,30.0,8.0,2.0,222.0,776.0,,592.0,637.0,530.0,2700.0,,,329.0,1096.0,777.0,319.0,1373.0,247.0,72.0,5.0,0.0,,,,3.0,,,,,,45.0,42.0,3.0,,6.0,,1.0,3.0,1.0,,,,5.0,57.0,1.0,,237.0,203.0,3.0,,,30.0,,,,1.0,54.0,247.0,140.0,,1.0,,,,,,32.0,4.0,,1.0,,,,,158.0,314.0,,,,,,,,,,,,,,,,,,,221.0,187.0,,12.0,,,,,,,,,20.0,7.0,78.0,4.0,1.0,5.0,17.0,79.0,49.0,28.0,24.0
Real Sociedad,Defender,3eksuqblpadcgroqkg5ynldec,33,Iñaki,Rupérez Urtasun,Iñaki Rupérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Forward,dtvmsnqlzn5672xb54zj8u7dh,15,Umar,Sadiq Mesbah,U. Sadiq,,49.0,17.0,17.0,24.0,75.0,127.0,83.0,44.0,26.0,17.0,78.0,51.0,21.0,113.0,11.0,73.0,30.0,76.0,666.0,33.0,15.0,106.0,118.0,78.0,40.0,270.0,36.0,7.0,39.0,0.0,32.0,5.0,,,,9.0,147.0,4.0,1.0,12.0,11.0,1.0,,27.0,,1.0,6.0,,8.0,1.0,,3.0,32.0,17.0,10.0,26.0,47.0,8.0,8.0,4.0,6.0,4.0,2.0,2.0,11.0,,2.0,50.0,1.0,1.0,3.0,,,2.0,1.0,2.0,15.0,12.0,2.0,43.0,3.0,3.0,13.0,1.0,1.0,3.0,0.0,1.0,2.0,,,,2.0,1.0,1.0,1.0,1.0,,,8.0,3.0,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,
Real Sociedad,Midfielder,dsmcqfl0e1be4ag7czbnolo15,18,Carlos,Soler Barragán,Carlos Soler,,17.0,7.0,25.0,175.0,194.0,123.0,62.0,61.0,262.0,25.0,106.0,52.0,162.0,799.0,6.0,704.0,314.0,703.0,1701.0,16.0,25.0,159.0,845.0,747.0,98.0,1094.0,112.0,19.0,69.0,1.0,10.0,3.0,8.0,1.0,,4.0,318.0,16.0,4.0,23.0,22.0,1.0,3.0,54.0,1.0,10.0,32.0,,,,,4.0,103.0,18.0,11.0,68.0,246.0,35.0,7.0,17.0,19.0,12.0,19.0,8.0,10.0,4.0,44.0,452.0,14.0,15.0,3.0,,2.0,3.0,1.0,22.0,15.0,24.0,29.0,28.0,33.0,11.0,3.0,12.0,29.0,2.0,1.0,3.0,3.0,,40.0,,3.0,4.0,1.0,,2.0,,7.0,27.0,6.0,16.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
Real Sociedad,Midfielder,9x5uo2wkxp9fk1arygbkl6u0a,24,Luka,Sučić,L. Sučić,,25.0,12.0,15.0,54.0,113.0,72.0,40.0,32.0,66.0,15.0,47.0,27.0,96.0,278.0,8.0,222.0,99.0,212.0,641.0,19.0,5.0,89.0,287.0,230.0,57.0,397.0,46.0,14.0,45.0,0.0,13.0,5.0,,,,1.0,119.0,3.0,2.0,9.0,9.0,,2.0,20.0,,3.0,4.0,,1.0,2.0,,1.0,47.0,17.0,6.0,27.0,71.0,5.0,6.0,5.0,7.0,7.0,,,9.0,,18.0,131.0,3.0,4.0,2.0,,1.0,2.0,,10.0,4.0,11.0,7.0,11.0,3.0,2.0,6.0,1.0,12.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,10.0,,1.0,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
Real Sociedad,Defender,xrh2szvp5808no7zm1et2zf9,18,Hamari,Traoré,H. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Midfielder,et849xmcdgsy5itb8i4w7qkq2,8,Beñat,Turrientes Imaz,Beñat Turrientes,,15.0,8.0,20.0,97.0,116.0,127.0,57.0,70.0,116.0,20.0,112.0,50.0,117.0,448.0,9.0,383.0,201.0,378.0,936.0,22.0,20.0,116.0,465.0,399.0,66.0,646.0,55.0,17.0,54.0,0.0,7.0,3.0,4.0,1.0,1.0,1.0,129.0,10.0,,11.0,11.0,,,62.0,,6.0,6.0,,,3.0,,1.0,59.0,12.0,6.0,59.0,135.0,9.0,8.0,5.0,11.0,10.0,2.0,1.0,17.0,1.0,21.0,200.0,13.0,20.0,1.0,,,,,20.0,13.0,13.0,33.0,16.0,6.0,4.0,9.0,4.0,12.0,5.0,,,1.0,,4.0,,3.0,,,,,,1.0,24.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Midfielder,7y8ns61qioqu7kfsqzkvkwhuy,15,Urko,González de Zárate Quirós,Urko González de Zárate,Urko González de Zárate,33.0,18.0,29.0,113.0,171.0,208.0,105.0,103.0,237.0,29.0,175.0,90.0,197.0,750.0,8.0,608.0,296.0,598.0,2005.0,25.0,32.0,212.0,760.0,617.0,143.0,1070.0,113.0,38.0,107.0,0.0,15.0,6.0,8.0,4.0,,2.0,156.0,15.0,,35.0,29.0,6.0,,85.0,,23.0,9.0,,,1.0,,5.0,90.0,31.0,20.0,107.0,213.0,10.0,8.0,1.0,21.0,3.0,1.0,1.0,12.0,4.0,19.0,322.0,14.0,29.0,2.0,,,,,45.0,31.0,9.0,43.0,9.0,8.0,8.0,5.0,13.0,36.0,4.0,,,,,,,1.0,,,3.0,,,,11.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Real Sociedad,Forward,a5sz66h4t5kg1umvtth785jis,22,Wesley,Gassova Ribeiro Teixeira,Wesley,Wesley,2.0,2.0,3.0,8.0,8.0,5.0,2.0,3.0,6.0,3.0,3.0,2.0,2.0,21.0,2.0,15.0,2.0,15.0,64.0,1.0,2.0,13.0,21.0,15.0,6.0,32.0,5.0,2.0,6.0,0.0,,,,,,,17.0,1.0,,4.0,4.0,,,1.0,,,,,,,,1.0,4.0,2.0,,2.0,5.0,,,,1.0,1.0,,,1.0,,,13.0,,,,,,,,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Midfielder,6e4d1o09sl2ovlyyvhyd5xboq,21,Arsen,Zakharyan,A. Zakharyan,,6.0,2.0,16.0,34.0,59.0,41.0,28.0,13.0,60.0,16.0,35.0,24.0,23.0,181.0,14.0,144.0,41.0,135.0,391.0,12.0,8.0,86.0,182.0,145.0,37.0,292.0,49.0,8.0,31.0,0.0,4.0,6.0,,,,7.0,149.0,4.0,,11.0,11.0,,,11.0,,,9.0,,4.0,,,1.0,23.0,17.0,8.0,14.0,65.0,9.0,5.0,3.0,2.0,3.0,5.0,2.0,,,10.0,109.0,5.0,4.0,2.0,,6.0,2.0,,1.0,2.0,8.0,9.0,12.0,20.0,11.0,10.0,1.0,6.0,1.0,,,,,11.0,,,,,1.0,,,3.0,10.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Defender,48gjuou5eashpj8wbwd18iju1,5,Igor,Zubeldia Elorza,Igor Zubeldia,,94.0,45.0,22.0,82.0,255.0,174.0,92.0,82.0,327.0,22.0,80.0,43.0,301.0,980.0,1.0,854.0,645.0,866.0,1899.0,4.0,34.0,142.0,1030.0,900.0,130.0,1309.0,103.0,27.0,63.0,0.0,49.0,2.0,13.0,2.0,1.0,2.0,25.0,14.0,,32.0,30.0,2.0,,37.0,,21.0,4.0,1.0,,,,4.0,150.0,13.0,8.0,53.0,320.0,5.0,3.0,1.0,21.0,1.0,,,1.0,13.0,34.0,255.0,14.0,18.0,3.0,,2.0,,,139.0,5.0,4.0,32.0,13.0,,,3.0,35.0,67.0,8.0,,,1.0,,,,1.0,,,1.0,,,,,1.0,,,22.0,22.0,,2.0,,,,,,,,,,,,,,,,,,,
Real Sociedad,Forward,euur9yvhgrieu4kl0vdkh244q,9,Orri Steinn,Óskarsson,O. Óskarsson,,18.0,8.0,13.0,13.0,13.0,36.0,21.0,15.0,9.0,13.0,18.0,11.0,17.0,53.0,11.0,32.0,12.0,34.0,310.0,3.0,8.0,33.0,56.0,35.0,21.0,98.0,17.0,5.0,21.0,0.0,10.0,,,,,5.0,37.0,5.0,4.0,5.0,5.0,,4.0,7.0,1.0,1.0,2.0,,5.0,,,,6.0,6.0,3.0,7.0,17.0,2.0,3.0,6.0,2.0,2.0,,,2.0,,1.0,23.0,1.0,3.0,1.0,,,3.0,4.0,5.0,1.0,9.0,4.0,14.0,1.0,1.0,,,,2.0,4.0,0.0,,,,,,4.0,,,3.0,,,4.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
