perfil_jugador,jugadores,media_ofensivo,media_progresion,media_defensivo,media_total
Progresor / conector,103,9.39,29.48,22.46,20.34
Amenaza ofensiva,77,26.28,14.87,15.97,19.19
Sostén defensivo,263,7.53,18.28,27.33,17.23
