jugador,position,minutos,goles,asistencias,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,rol_tactico
J. Aramburu,Defender,2301.0,1.0,0.0,6.76,34.21,66.76,34.37,Sostén defensivo
Sergio Gómez,Forward,2155.0,0.0,1.0,11.15,44.03,52.25,34.99,Sostén defensivo
Jon Gorrotxategi,Midfielder,1912.0,1.0,1.0,7.16,31.78,44.65,27.02,Sostén defensivo
Urko González de Zárate,Midfielder,2005.0,0.0,0.0,2.92,23.21,43.09,22.07,Sostén defensivo
Jon Martín,Defender,1710.0,1.0,0.0,4.18,27.95,40.87,23.51,Sostén defensivo
Igor Zubeldia,Defender,1899.0,0.0,1.0,4.54,29.23,39.18,23.57,Sostén defensivo
D. Ćaleta-Car,Defender,1610.0,1.0,0.0,3.78,26.63,35.06,21.16,Sostén defensivo
Jon Pacheco,Defender,1725.0,0.0,0.0,2.32,28.52,32.79,20.63,Sostén defensivo
