codigo,equipo,Possession Percentage,Total Passes,Pass Accuracy Calculated,Passing % Opp Half,Total Shots,Shots On Target ( inc goals ),Goal Conversion,Total Goals,Final Third Touches,Cross Volume,Cross Accuracy Calculated,Aerial Duels,Aerial Duel Win %,Ground Duels,Ground Duel Win %,PPDA,Defensive Activity,Total Shots Conceded,Shots Conceded per Defensive Action,Recoveries,Interceptions,Total Clearances,Set Piece Threat,Yellow Cards
BCN,FC Barcelona,68.3,19491,89.68,86.87,431,216,18.56,80,7251,306,23.86,552,58.88,2231,52.8,8.6,821,274,0.33,1426,234,527,23.0,44
CLT,Real Club Celta de Vigo,50.8,14945,86.15,81.25,244,125,18.03,44,4513,237,19.83,512,47.46,1935,49.77,14.3,682,362,0.53,1336,215,739,5.0,56
MLL,Real Club Deportivo Mallorca,45.0,11467,80.19,71.98,247,119,14.57,36,3684,388,24.48,879,51.99,1966,49.24,14.3,677,450,0.66,1315,219,882,8.0,67
ATH,Athletic Club,48.8,12382,80.33,73.89,292,136,10.96,32,5151,531,19.02,910,49.01,2185,45.08,11.0,1002,289,0.29,1577,268,657,2.0,63
OSAS,CA Osasuna,45.5,11443,80.17,72.49,254,112,14.17,36,4136,445,21.35,891,54.55,2053,47.93,13.4,743,384,0.52,1424,241,802,16.0,72
